X;Y;NUMNAT
20.9144623027055;59.8709257616388;FI000001
20.1786575647369;59.9759862288964;FI000002
19.9829434686999;60.0163874105335;FI000003
20.1186672394846;60.0008066220331;FI000004
20.1864887408772;59.9929717850421;FI000005
20.2881702741595;59.9811640163188;FI000006
20.8969661209143;59.9089210864607;FI000007
20.1264774592257;60.0177930902922;FI000008
20.1604054460975;60.0138780125981;FI000009
20.1943266760026;60.0099555283716;FI000010
20.3299438138886;59.9941915619846;FI000011
20.363831100035;59.9902320720034;FI000012
20.3977115657451;59.9862651862726;FI000013
20.8713160704365;59.9299532494803;FI000014
20.9050929743242;59.9258756459449;FI000015
20.938862891062;59.9217906759128;FI000016
20.0663904522048;60.0425883902047;FI000017
20.1003458108933;60.0386867737332;FI000018
20.1342944253075;60.0347777447725;FI000019
20.1682362847933;60.0308613051086;FI000020
20.2021713787113;60.0269374565304;FI000021
20.3378438864133;60.0111680089494;FI000022
20.3717449933995;60.0072071427312;FI000023
20.4056392712815;60.0032388783914;FI000024
20.4395267095202;59.9992632177389;FI000025
20.8794362301483;59.9469073929496;FI000026
20.9470104036344;59.9387419890614;FI000027
20.9807869860852;59.9346482357085;FI000028
19.7681609364548;60.0943667531138;FI000029
20.0402103795807;60.0634695044355;FI000030
20.0741863809082;60.0595739467289;FI000031
20.1081556400478;60.0556709723623;FI000032
20.1421181463199;60.0517605831202;FI000033
20.1760738890595;60.0478427807904;FI000034
20.2100228576155;60.0439175671633;FI000035
20.3796657158706;60.0241803924337;FI000036
20.5152569860953;60.0082574329801;FI000037
20.9551649225063;59.9556914691192;FI000038
20.9889551784085;59.9515962963725;FI000039
19.7417878270518;60.1151926747158;FI000040
19.7758380217134;60.1113626121575;FI000041
19.8098815624522;60.1075251146033;FI000042
19.8439184384487;60.1036801838132;FI000043
19.9119721530085;60.0959680295817;FI000044
19.9459889700041;60.0921008096753;FI000045
20.0140024696147;60.0843440931408;FI000046
20.0479991307478;60.0804546000653;FI000047
20.081989051802;60.0765576861573;FI000048
20.1159722220721;60.0726533532004;FI000049
20.1499486308674;60.068741602981;FI000050
20.1839182675114;60.0648224372883;FI000051
20.2178811213421;60.0608958579143;FI000052
20.4215152099843;60.0371807950848;FI000053
20.5232398271087;60.0252233250113;FI000054
20.5571342695643;60.0212227080214;FI000055
20.5910218128764;60.0172146972523;FI000056
22.3098968486606;59.8030455988244;FI000057
19.5449330436748;60.1550201593634;FI000058
19.5790369920821;60.1512334227324;FI000059
19.7494575588233;60.132188055845;FI000060
19.7835217608972;60.1283566579728;FI000061
19.8175793005409;60.1245178226999;FI000062
19.8516301669234;60.1206715517883;FI000063
19.885674349228;60.1168178470029;FI000064
19.9197118366521;60.1129567101113;FI000065
19.9877666837209;60.1052121470953;FI000066
20.0217840218321;60.1013287245209;FI000067
20.0897984734822;60.0935396061362;FI000068
20.1237955655737;60.0896339138932;FI000069
20.1577858875686;60.0857208019995;FI000070
20.1917694287792;60.0818002722461;FI000071
20.2597161261685;60.0739369663379;FI000072
20.4294634605517;60.0541490149374;FI000073
20.4633923724611;60.0501692071227;FI000074
20.4973144080466;60.0461819976953;FI000075
20.5651378080877;60.0381853812836;FI000076
20.599039151501;60.0341759779468;FI000077
20.6329335765053;60.0301591802924;FI000078
21.6801726155318;59.9019809755301;FI000079
22.3856546960355;59.8111426282637;FI000080
19.5525251391866;60.1720216910018;FI000081
19.5866431567362;60.1682336328375;FI000082
19.7230490617557;60.1530069143917;FI000083
19.7571339421821;60.1491816220852;FI000084
19.7912121625136;60.1453488882118;FI000085
19.8252837118932;60.1415087145322;FI000086
19.8593485794784;60.1376611028099;FI000087
19.8934067544409;60.1338060548114;FI000088
19.9274582259667;60.1299435723061;FI000089
19.9615029832562;60.1260736570664;FI000090
19.995541015524;60.1221963108675;FI000091
20.0295723119991;60.1183115354874;FI000092
20.2336180378411;60.0948469703428;FI000093
20.2676018833887;60.090910240725;FI000094
20.3015789074942;60.0869660962551;FI000095
20.3355490995163;60.0830145387371;FI000096
20.437418576888;60.0711154059777;FI000097
20.5731482545231;60.0551462229049;FI000098
21.7223152066529;59.9146406950409;FI000099
21.7559890358135;59.9103794560303;FI000100
19.321014874086;60.215338249189;FI000101
19.5259851286125;60.192803335404;FI000102
19.5601238293555;60.1890214095116;FI000103
19.5942559269898;60.1852320291317;FI000104
19.6283814105614;60.1814351960092;FI000105
19.6625002691305;60.1776309118915;FI000106
19.7307180675732;60.1699999976764;FI000107
19.7648169856383;60.1661733710888;FI000108
19.7989092350842;60.1623393005262;FI000109
19.8329948050423;60.1584977877507;FI000110
19.8670736846586;60.1546488345278;FI000111
19.901145863093;60.1507924426254;FI000112
19.9352113295201;60.1469286138146;FI000113
19.9692700731287;60.1430573498695;FI000114
20.0033220831221;60.1391786525669;FI000115
20.2414967079389;60.1118197873041;FI000116
20.2754944620535;60.1078816874563;FI000117
20.4793371815226;60.0840973897256;FI000118
20.9201419908871;60.0316505879822;FI000119
21.5959754549552;59.9485284500732;FI000120
22.2017537574789;59.8712062237723;FI000121
22.9388818662694;59.7734861433366;FI000122
19.5335763223857;60.2098025589209;FI000123
19.5677291226354;60.2060193125489;FI000124
19.6018753113084;60.2022286092704;FI000125
19.6360148774388;60.1984304508319;FI000126
19.6701478100749;60.1946248389826;FI000127
19.7042740982795;60.1908117754748;FI000128
19.7383937311295;60.1869912620636;FI000129
19.7725066977161;60.1831633005072;FI000130
19.8066129871449;60.1793278925665;FI000131
19.8407125885358;60.1754850400056;FI000132
19.8748054910229;60.1716347445912;FI000133
19.9088916837547;60.1677770080933;FI000134
19.9429711558943;60.1639118322845;FI000135
19.977043896619;60.1600392189405;FI000136
20.0111098951203;60.1561591698397;FI000137
20.215363695992;60.1327228243069;FI000138
20.2493821975101;60.1287907749514;FI000139
20.2833938708584;60.1248513041716;FI000140
20.5552401652149;60.0930685838089;FI000141
20.589189906267;60.0890624017595;FI000142
20.7249194222746;60.0729636594074;FI000143
21.8066814826241;59.9399237125662;FI000144
22.4454603312918;59.857373226178;FI000145
19.5411741167579;60.2267999653032;FI000146
19.5753410274945;60.2230153977688;FI000147
19.609501318172;60.2192233709079;FI000148
19.6436549778127;60.2154238864687;FI000149
19.7119423601445;60.2078025518619;FI000150
19.7460760609516;60.2039807052049;FI000151
19.7802030869542;60.200151407991;FI000152
19.814323427246;60.1963146619827;FI000153
19.8484370709354;60.1924704689458;FI000154
19.8825440071448;60.1886188306487;FI000155
19.9166442250112;60.1847597488628;FI000156
19.950737713686;60.1808932253626;FI000157
19.9848244623349;60.1770192619253;FI000158
20.0189044601381;60.1731378603311;FI000159
20.2913001185137;60.1418190885102;FI000160
22.4877984291986;59.8698289527384;FI000161
19.4803966141315;60.2513449387417;FI000162
19.5145908704325;60.2475739780928;FI000163
19.5487785201997;60.2437955522063;FI000164
19.5829595524151;60.2400096628258;FI000165
19.6171339560748;60.236216311698;FI000166
19.6513017201892;60.2324155005726;FI000167
19.6854628337833;60.2286072312021;FI000168
19.7196172858959;60.2247915053421;FI000169
19.7537650655807;60.2209683247509;FI000170
19.7879061619053;60.2171376911902;FI000171
19.822040563952;60.213299606424;FI000172
19.8561682608173;60.2094540722197;FI000173
19.890289241612;60.2056010903476;FI000174
19.9244034954616;60.2017406625806;FI000175
19.9585110115058;60.1978727906949;FI000176
19.9926117788989;60.1939974764693;FI000177
20.0607930244206;60.186224528129;FI000178
20.2311272804098;60.1666620414165;FI000179
20.2651736698825;60.1627272528629;FI000180
20.299213213744;60.1587850381104;FI000181
20.6731933359605;60.1149310658281;FI000182
21.7900159527084;59.9780035607114;FI000183
22.3958589948647;59.8999414821646;FI000184
22.4965984257035;59.8867006607113;FI000185
22.9323505306174;59.8285651696972;FI000186
22.965816676035;59.824042228876;FI000187
19.5563895411957;60.2607893172844;FI000188
19.5905847058937;60.2570021053735;FI000189
19.6247732335251;60.2532074292935;FI000190
19.693130333597;60.245595691634;FI000191
19.7272988840777;60.2417786335659;FI000192
19.7614607535723;60.2379541183515;FI000193
19.7956159311369;60.2341221477537;FI000194
19.8297644058418;60.2302827235385;FI000195
19.8639061667721;60.226435847475;FI000196
19.8980412030269;60.2225815213348;FI000197
19.9321695037199;60.2187197468928;FI000198
19.9662910579793;60.2148505259266;FI000199
20.0004058549478;60.2109738602169;FI000200
20.1027095937514;60.1992992124763;FI000201
20.1367972532724;60.1953927856568;FI000202
20.1708781014333;60.1914789230403;FI000203
20.3411797953862;60.1717981360372;FI000204
20.4092524176107;60.1638738338115;FI000205
20.511309596;60.1519317250442;FI000206
20.6472887781037;60.1359050998866;FI000207
20.6812661716159;60.1318799176947;FI000208
22.3710182091832;59.9212163863068;FI000209
22.9748102423387;59.8408904697374;FI000210
23.0082819511617;59.8363586976257;FI000211
23.0417459863893;59.831819652522;FI000212
23.0752023385321;59.8272733364573;FI000213
19.5297912454845;60.2815623249756;FI000214
19.5982164964413;60.2739927230648;FI000215
19.6666151650453;60.266393254789;FI000216
19.7008045034409;60.2625823251483;FI000217
19.7349871632479;60.2587639341832;FI000218
19.7691631334963;60.2549380836555;FI000219
19.8716507974048;60.2434157923581;FI000220
19.9057999000059;60.2395601212562;FI000221
19.9399422584141;60.2356969994444;FI000222
19.9740778617461;60.2318264287022;FI000223
20.008206699133;60.2279484108118;FI000224
20.0764440326678;60.2201700407301;FI000225
20.1105525071507;60.2162696921179;FI000226
20.1446541723578;60.2123619035158;FI000227
20.178749017493;60.2084466767204;FI000228
20.2128370317747;60.2045240135316;FI000229
20.2809925247237;60.1966563851869;FI000230
20.6553547307428;60.1528535043947;FI000231
22.3461506274323;59.94248512927;FI000232
22.4134013101155;59.9336883777374;FI000233
23.0172964090102;59.8532034813294;FI000234
23.0507736621162;59.8486628746896;FI000235
23.0842432225552;59.8441149948436;FI000236
23.1177050808444;59.8395598438267;FI000237
23.1511592275167;59.834997423677;FI000238
19.6058549325831;60.2909815135517;FI000239
19.640071741174;60.2871841855082;FI000240
19.6742818846085;60.2833793902034;FI000241
19.7084853518756;60.2795671293948;FI000242
19.7426821319791;60.275747404843;FI000243
19.8794021613348;60.2603939045152;FI000244
19.9135653411801;60.256536887757;FI000245
19.947721768187;60.25267241788;FI000246
19.9818714314606;60.2488004966654;FI000247
20.0501504232998;60.2410343073615;FI000248
20.084279730148;60.237140042849;FI000249
20.118402229828;60.2332383341519;FI000250
20.1525179115175;60.229329183066;FI000251
20.1866267644087;60.2254125913897;FI000252
20.2207287777087;60.2214885609244;FI000253
20.254823940639;60.2175570934744;FI000254
20.2889122424357;60.2136181908468;FI000255
22.3549062192362;59.9593587836277;FI000256
22.4221837273721;59.9505589957973;FI000257
22.4558112078718;59.9461481303928;FI000258
23.0598090305128;59.8655041950174;FI000259
23.0932918087307;59.8609547506168;FI000260
23.1267668751924;59.8563980328013;FI000261
23.1602342204219;59.8518340436107;FI000262
23.1936938349586;59.8472627850875;FI000263
23.2271457093578;59.8426842592767;FI000264
19.818785490402;60.2850645341091;FI000265
19.8529762486197;60.2812210873928;FI000266
19.921337535195;60.2735118184816;FI000267
19.9555080416958;60.2696459998432;FI000268
20.0238287265897;60.2618920031141;FI000269
20.0579788832132;60.2580038285977;FI000270
20.0921222347989;60.2541082057008;FI000271
20.1262587704984;60.250205136218;FI000272
20.1603884794778;60.2462946219465;FI000273
20.1945113509182;60.2423766646864;FI000274
21.0792709380758;60.1379032528206;FI000275
22.3636693104044;59.9762305498001;FI000276
22.3973252463118;59.9718327959434;FI000277
22.4309736636106;59.9674277241543;FI000278
22.5318737058271;59.9541686210726;FI000279
22.5654919507405;59.949734297447;FI000280
22.6327057283136;59.9408437282779;FI000281
23.1023481066651;59.8777926013466;FI000282
23.1358363907753;59.8732343159578;FI000283
23.1693169440223;59.8686687569509;FI000284
23.202789756937;59.8640959263702;FI000285
23.2362548200659;59.8595158262626;FI000286
19.758092172487;60.3097088468818;FI000287
19.7923105107783;60.305878986267;FI000288
19.8265221227156;60.3020416606047;FI000289
19.8949251236367;60.2943446212309;FI000290
19.9291164907109;60.2904849110734;FI000291
19.963301087612;60.2866177429765;FI000292
19.9974789034219;60.2827431187245;FI000293
20.0658141481669;60.2749715089074;FI000294
20.0999715553384;60.2710745269255;FI000295
20.1341221378911;60.2671700959552;FI000296
20.1682658849798;60.2632582177953;FI000297
20.2024027857737;60.2593388942479;FI000298
20.236532829457;60.2554121271175;FI000299
20.3388817099042;60.2435871823202;FI000300
20.3729842172795;60.2396306589639;FI000301
20.4070798136852;60.2356667010919;FI000302
20.6795945058126;60.2036876148102;FI000303
20.7136274225238;60.1996568286373;FI000304
21.5621423444289;60.0964817747801;FI000305
