X;Y;NUMNAT
9.49704621567702;47.0649110819664;LI000001
9.52326627506572;47.0632713822978;LI000002
9.5494847306734;47.0616257050632;LI000003
9.57570157681297;47.0599740508054;LI000004
9.52567093357707;47.0811883907465;LI000005
9.55189806406169;47.0795421720688;LI000006
9.5781235834711;47.0778899744203;LI000007
9.60434748611479;47.0762317983464;LI000008
9.52807719747134;47.0991052641873;LI000009
9.55431300852556;47.0974585038677;LI000010
9.58054720689532;47.0958057626288;LI000011
9.60677978688456;47.0941470410165;LI000012
9.63301074279938;47.0924823395784;LI000013
9.53048506835224;47.1170220008179;LI000014
9.55672956567424;47.1153746986573;LI000015
9.58297244870041;47.1137214136284;LI000016
9.60921371172912;47.1120621462772;LI000017
9.53289454782557;47.1349385988352;LI000018
9.55914773711911;47.1332907546345;LI000019
9.5853993105033;47.1316369256156;LI000020
9.61164926227096;47.1299771123251;LI000021
9.50904213871476;47.1544974555619;LI000022
9.53530563749928;47.1528550564356;LI000023
9.56156752447369;47.1512066699955;LI000024
9.58782779392308;47.1495522967867;LI000025
9.61408644013471;47.1478919373561;LI000026
9.51144613519095;47.1724143114287;LI000027
9.53771833898347;47.1707713718151;LI000028
9.56398892935365;47.1691224429361;LI000029
9.51385173936721;47.1903310234688;LI000030
9.54013265389036;47.188687543169;LI000031
9.56641195337679;47.1870380716515;LI000032
9.51625895285233;47.2082475898772;LI000033
9.54254858383432;47.2066035686921;LI000034
9.56883659816309;47.2049535543363;LI000035
9.51866777725721;47.2261640088482;LI000036
9.54496613043189;47.2245194465786;LI000037
9.52107821419493;47.2440802785756;LI000038
9.54738529530172;47.2424351750221;LI000039
