X;Y;NUMNAT
14.5677771100941;46.3784271940766;AT000001
14.1604044330193;46.4400938505537;AT000002
14.5718075818211;46.3962038248714;AT000003
14.1385632565284;46.4605791596199;AT000004
14.1643061155801;46.4578846319151;AT000005
14.1900464181334;46.4551842770739;AT000006
14.2157841590485;46.4524780959675;AT000007
14.2415193331891;46.4497660894689;AT000008
14.2672519354218;46.447048258453;AT000009
14.2929819606167;46.4443246037963;AT000010
14.3187094036469;46.4415951263772;AT000011
14.344434259389;46.4388598270757;AT000012
14.4473077071185;46.4278604287103;AT000013
14.4730195496805;46.4250960332605;AT000014
14.4987287742814;46.4223258212461;AT000015
14.5501393492007;46.4167679510947;AT000016
14.5758406893276;46.413980294748;AT000017
10.8270679423202;46.7749677325354;AT000018
10.879136250278;46.7710763210445;AT000019
10.9051675848145;46.7691217274902;AT000020
12.8517561758185;46.6056902940474;AT000021
13.2137590390614;46.5715159909368;AT000022
13.239598809512;46.5690309933916;AT000023
13.2654362082687;46.5665401366591;AT000024
13.2912712300748;46.5640434215468;AT000025
13.3171038696764;46.5615408488638;AT000026
13.6785077577829;46.5258902438461;AT000027
13.7043040359421;46.5232999059367;AT000028
13.7300978482527;46.5207037236493;AT000029
13.7558891895133;46.5181016978236;AT000030
13.7816780545254;46.5154938293012;AT000031
13.8074644380939;46.5128801189254;AT000032
13.9878992069118;46.4944206456203;AT000033
14.0136655522804;46.4917602309934;AT000034
14.1167056015453;46.4810602392801;AT000035
14.1424592550151;46.4783706623696;AT000036
14.1682103546399;46.4756752556002;AT000037
14.1939588952721;46.4729740198418;AT000038
14.2197048717673;46.4702669559665;AT000039
14.2454482789844;46.4675540648478;AT000040
14.2711891117855;46.4648353473611;AT000041
14.2969273650359;46.4621108043836;AT000042
14.322663033604;46.4593804367942;AT000043
14.3483961123619;46.4566442454736;AT000044
14.3741265961844;46.4539022313043;AT000045
14.3998544799499;46.4511543951705;AT000046
14.4255797585401;46.4484007379583;AT000047
14.4513024268397;46.4456412605553;AT000048
14.4770224797368;46.4428759638511;AT000049
14.502739912123;46.440104848737;AT000050
14.5284547188928;46.4373279161061;AT000051
14.5541668949443;46.4345451668532;AT000052
14.5798764351787;46.4317566018748;AT000053
10.7517500958102;46.798650709427;AT000054
10.777799313052;46.7967251152506;AT000055
10.8038466690364;46.7947935916208;AT000056
10.8298921582419;46.7928561391699;AT000057
10.85593577515;46.7909127585324;AT000058
10.8819775142442;46.7889634503445;AT000059
10.9080173700107;46.7870082152442;AT000060
10.934055336938;46.7850470538718;AT000061
10.9600914095173;46.783079966869;AT000062
10.986125582242;46.7811069548796;AT000063
11.012157849608;46.7791280185493;AT000064
12.8552393629751;46.6235232310931;AT000065
12.881120148007;46.6211195599413;AT000066
12.9069986329969;46.6187100166071;AT000067
12.9328748126414;46.6162946018731;AT000068
12.9587486816401;46.6138733165236;AT000069
12.9846202346956;46.611446161345;AT000070
13.0104894665132;46.6090131371252;AT000071
13.0363563718015;46.6065742446542;AT000072
13.0622209452718;46.6041294847236;AT000073
13.0880831816384;46.6016788581268;AT000074
13.1139430756188;46.5992223656593;AT000075
13.1398006219333;46.5967600081181;AT000076
13.1656558153051;46.5942917863022;AT000077
13.1915086504607;46.5918177010122;AT000078
13.2173591221294;46.5893377530508;AT000079
13.2432072250434;46.5868519432224;AT000080
13.2690529539382;46.5843602723331;AT000081
13.2948963035521;46.5818627411908;AT000082
13.3207372686265;46.5793593506054;AT000083
13.3465758439059;46.5768501013884;AT000084
13.4240771784637;46.5692872100914;AT000085
13.449906142068;46.5667545345003;AT000086
13.4757326896452;46.5642160043627;AT000087
13.527378515772;46.5591213837394;AT000088
13.5531977838563;46.556565294904;AT000089
13.5790146149829;46.5540033548224;AT000090
13.6048290039268;46.5514355643243;AT000091
13.6306409454662;46.5488619242412;AT000092
13.6564504343823;46.5462824354062;AT000093
13.6822574654596;46.5436970986543;AT000094
13.7080620334856;46.5411059148222;AT000095
13.7338641332508;46.5385088847486;AT000096
13.759663759549;46.5359060092738;AT000097
13.785460907177;46.53329728924;AT000098
13.8112555709349;46.5306827254911;AT000099
13.8370477456258;46.5280623188728;AT000100
13.862837426056;46.5254360702327;AT000101
13.8886246070349;46.52280398042;AT000102
13.9401914498925;46.5175222806832;AT000103
13.9659711014059;46.5148726724666;AT000104
13.9917482327374;46.5122172264926;AT000105
14.0175228387124;46.5095559436193;AT000106
14.0432949141593;46.5068888247068;AT000107
14.0690644539097;46.5042158706168;AT000108
14.0948314527986;46.5015370822129;AT000109
14.120595905664;46.4988524603604;AT000110
14.1463578073473;46.4961620059266;AT000111
14.1721171526928;46.4934657197802;AT000112
14.1978739365483;46.4907636027919;AT000113
14.2236281537648;46.4880556558342;AT000114
14.2493797991964;46.4853418797813;AT000115
14.2751288677005;46.4826222755092;AT000116
14.3008753541377;46.4798968438956;AT000117
14.3266192533721;46.4771655858201;AT000118
14.3523605602706;46.474428502164;AT000119
14.3780992697037;46.4716855938103;AT000120
14.4038353765451;46.4689368616438;AT000121
14.4295688756718;46.4661823065513;AT000122
14.4552997619638;46.463421929421;AT000123
14.4810280303048;46.4606557311431;AT000124
14.5067536755815;46.4578837126095;AT000125
14.5324766926839;46.4551058747138;AT000126
14.5581970765055;46.4523222183514;AT000127
14.5839148219428;46.4495327444196;AT000128
14.6096299238959;46.4467374538173;AT000129
14.6353423772681;46.4439363474452;AT000130
10.0764132095828;46.8645388362431;AT000131
10.1025174558828;46.8627670415989;AT000132
10.1286199836019;46.8609892997879;AT000133
10.1547207871528;46.8592056113938;AT000134
10.1808198609503;46.8574159770021;AT000135
10.7806083347764;46.8146146658592;AT000136
10.8066642249333;46.8126825081314;AT000137
10.8327182464615;46.8107444196616;AT000138
10.8587703938371;46.8088004010848;AT000139
10.8848206615385;46.8068504530375;AT000140
10.9108690440464;46.8048945761585;AT000141
10.9369155358441;46.802932771088;AT000142
10.9629601314176;46.8009650384686;AT000143
10.9890028252548;46.7989913789443;AT000144
11.0150436118466;46.7970117931614;AT000145
12.547877343456;46.6697510515399;AT000146
12.5737937108042;46.6674171433017;AT000147
12.5997078397783;46.6650773517441;AT000148
12.6256197250353;46.6627316776282;AT000149
12.6515293612346;46.6603801217171;AT000150
12.6774367430389;46.6580226847756;AT000151
12.7033418651136;46.6556593675706;AT000152
12.7292447221269;46.6532901708704;AT000153
12.7551453087501;46.6509150954454;AT000154
12.7810436196573;46.6485341420679;AT000155
