ID_GéoFLA;COMMUNE1;COMMUNE;COMMUNE0;STATUT;POPULATION;SUPERFICIE;CHEF_LIEU;ORDONNée0;CENTROïdE;ORDONNée_;MOYENNE;CANTON;ARRONDISSE;DépARTEME;DépARTEM0;RégION;NOM_RégIO;OBJECT_ID;LENGTH;SHAPE_AREA;Referent;x;y
2786;051;11051;BREZILHAC;Commune simple;0.1;728;5790;17961;5787;17961;262;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2456;11084.4080590215;7066063.49653057;Jean Muratet;624797.209933341;6230250.17522418
2787;052;11052;BROUSSES-ET-VILLARET;Commune simple;0.3;1158;5932;18155;5923;18156;412;28;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2457;14930.4704513538;11409033.0428701;Jean Muratet;638636.104757878;6249663.36677987
2788;053;11053;BRUGAIROLLES;Commune simple;0.2;893;5854;17913;5856;17925;243;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2458;14923.161669542;9630266.75358061;Karel Crombe;631739.55484458;6226618.75735651
2789;054;11054;LES BRUNELS;Commune simple;0.2;1233;5767;18224;5766;18231;543;09;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2459;16678.2509766516;12273274.5039028;Jean Muratet;622930.039927385;6257280.40373858
2790;055;11055;BUGARACH;Commune simple;0.2;2762;6011;17637;6011;17639;625;13;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2460;26230.9078795788;27158935.0502723;Karel Crombe;646951.687520307;6197902.43389573
2791;056;11056;CABRESPINE;Commune simple;0.2;1811;6100;18178;6109;18193;596;25;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2461;21350.3553744456;18361720.905258;Thomas Cuypers;657184.240280594;6253127.55719072
2792;057;11057;CAHUZAC;Commune simple;0;315;5604;17989;5607;17988;304;05;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2462;6969.45661641006;3084635.84887716;Jean Muratet;606897.128753895;6233128.85939068
2793;058;11058;CAILHAU;Commune simple;0.2;1013;5836;17938;5831;17936;235;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2463;14852.416710273;10177924.1969089;Jean Muratet;629252.873956888;6227743.58086662
2794;059;11059;CAILHAVEL;Commune simple;0.1;563;5828;17955;5826;17959;237;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2464;10841.7109441511;5635209.30453735;Jean Muratet;628764.518957411;6229990.31408786
2795;060;11060;CAILLA;Commune simple;0.1;776;5885;17568;5885;17563;667;03;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2465;11855.3021525251;7749121.07205745;Carine Boucabeille;634322.017100005;6190458.02387776
2796;061;11061;CAMBIEURE;Commune simple;0.2;339;5834;17915;5829;17915;213;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2466;8216.52807455366;3201589.6446313;Jean Muratet;629001.770802958;6225639.17862656
2797;062;11062;CAMPAGNA-DE-SAULT;Commune simple;0;1081;5768;17507;5759;17506;1445;04;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2467;15581.6513743058;10673691.203832;Carine Boucabeille;621636.203493689;6184789.66433922
2798;063;11063;CAMPAGNE-SUR-AUDE;Commune simple;0.6;615;5893;17681;5890;17680;335;26;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2468;11330.1538213703;5961874.87042126;Karel Crombe;634854.356136543;6202141.68487331
2799;064;11064;CAMPLONG-D'AUDE;Commune simple;0.3;1268;6257;17918;6258;17923;173;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2469;15502.8986999757;12593883.1461469;Maria Lanzellotti;671883.113142815;6226067.5412509
2800;065;11065;CAMPS-SUR-L'AGLY;Commune simple;0.1;2661;6079;17618;6067;17622;691;13;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2470;20669.312727522;27135664.8186275;Etienne Ouvrard & Matthieu Vaslin;652557.451010279;6196194.96404339
2801;066;11066;CAMURAC;Commune simple;0.1;1161;5654;17550;5661;17551;1368;04;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2471;15692.4421226896;11823355.0076524;Carine Boucabeille;611918.027135765;6189402.11733581
2802;067;11067;CANET;Commune simple;1.1;1405;6415;18030;6402;18028;27;33;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2472;14896.6936001371;13793672.037341;Maria Lanzellotti;686340.225420371;6236389.14779927
2803;068;11068;CAPENDU;Chef-lieu de pseudo-canton;1.4;1600;6181;17979;6176;17979;115;06;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2473;17153.352229936;15846619.2774001;Maria Lanzellotti;663744.724265543;6231716.11891278
2804;069;11069;CARCASSONNE;Préfecture de département;44;6530;6012;18014;6005;18007;129;98;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2474;47415.2370330401;66991018.7763929;Maria Lanzellotti;646680.72136776;6234671.41024295
2805;070;11070;CARLIPA;Commune simple;0.3;552;5828;18116;5825;18115;176;09;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2475;9988.91140346523;5495419.54328274;Jean Muratet;628725.050475746;6245606.97993817
2806;071;11071;CASCASTEL-DES-CORBIERES;Commune simple;0.2;1574;6345;17758;6335;17753;254;15;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2476;18438.029340083;16049486.7221961;Etienne Ouvrard & Matthieu Vaslin;679447.800044425;6209061.04572125
2807;072;11072;LA CASSAIGNE;Commune simple;0.2;1251;5720;18000;5717;17993;298;16;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2477;13874.9426970276;12493114.5283816;Jean Muratet;617864.795074915;6233482.93098142
2808;073;11073;CASSAIGNES;Commune simple;0;390;5969;17714;5967;17716;386;13;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2478;9221.61623289559;3805778.96315135;Karel Crombe;642630.996330772;6205687.42174526
2809;074;11074;LES CASSES;Commune simple;0.2;729;5619;18249;5617;18249;257;09;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2479;12383.8240105062;7615008.15326032;Jean Muratet;608125.33859038;6259197.85185409
2810;075;11075;CASTANS;Commune simple;0.1;1738;6119;18227;6122;18235;842;25;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2480;17238.3733438099;17072847.6151996;Thomas Cuypers;658558.219825009;6257369.36564969
2811;076;11076;CASTELNAUDARY;Chef-lieu de pseudo-canton;10.9;4804;5689;18129;5694;18134;165;99;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2481;29095.2643392191;47788222.9144708;Jean Muratet;615709.495202358;6247649.04625435
2812;077;11077;CASTELNAU-D'AUDE;Commune simple;0.4;748;6275;18032;6276;18034;64;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2482;11061.5368713032;7669903.31656017;Maria Lanzellotti;673793.633489495;6237182.59041122
2813;078;11078;CASTELRENG;Commune simple;0.2;1134;5837;17806;5828;17797;366;20;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2483;14065.0264293824;11523007.6497299;Karel Crombe;628827.116399198;6213873.84268258
2814;079;11079;CAUDEBRONDE;Commune simple;0.2;655;5978;18196;5973;18205;676;21;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2484;11886.7394376733;6417856.60934878;Thomas Cuypers;643584.209120728;6254479.21464566
2815;080;11080;CAUDEVAL;Commune simple;0.2;728;5705;17859;5704;17858;380;11;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2485;10924.8574474449;7470796.54983628;Jean Muratet;616505.146181175;6220075.01274624
2816;081;11081;CAUNES-MINERVOIS;Commune simple;1.5;2869;6155;18138;6146;18145;319;25;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2486;25931.276021794;28782949.4869035;Thomas Cuypers;660819.119806051;6248304.57692077
2817;082;11082;CAUNETTE-SUR-LAUQUET;Commune simple;0;512;6064;17808;6073;17805;563;27;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2487;13010.4775924101;4942464.73256126;Etienne Ouvrard & Matthieu Vaslin;653321.627015949;6214454.3757076
2818;083;11083;CAUNETTES-EN-VAL;Commune simple;0;876;6177;17845;6184;17846;254;18;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2488;11533.5952645815;8610180.49095271;Maria Lanzellotti;664419.629876999;6218414.33311579
2819;084;11084;CAUX-ET-SAUZENS;Commune simple;0.7;919;5934;18025;5933;18025;140;02;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2489;13661.9727840385;8862567.76625795;Jean Muratet;639439.927956995;6236525.15665787
2820;085;11085;CAVANAC;Commune simple;0.7;900;5991;17962;5998;17962;162;07;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2490;13134.0996939863;8712453.43700682;Maria Lanzellotti;645941.880167774;6230178.77446542
2838;103;11103;COUIZA;Chef-lieu de pseudo-canton;1.2;695;5934;17710;5945;17702;364;13;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2508;18239.785143447;7161890.52113894;Karel Crombe;640393.746209217;6204245.30715849
2839;104;11104;COUNOZOULS;Commune simple;0;2801;5910;17476;5912;17442;1464;03;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2509;24077.4402608949;27070934.6647432;Carine Boucabeille;636872.595631295;6178312.13289448
2840;105;11105;COURNANEL;Commune simple;0.5;643;5916;17811;5917;17807;246;20;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2510;9394.33107780609;6171109.29035518;Karel Crombe;637679.106018551;6214814.6947818
2841;106;11106;COURSAN;Chef-lieu de pseudo-canton;5.2;2463;6587;18036;6587;18052;6;14;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2511;20899.0265442959;24297000.9888824;Camille Montegu;704873.960313396;6238693.58050273
2842;107;11107;COURTAULY;Commune simple;0.1;786;5760;17819;5761;17820;472;11;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2512;13301.609678016;7996616.02563056;Karel Crombe;622137.570357772;6216226.45949714
2843;108;11108;LA COURTETE;Commune simple;0.1;568;5761;17937;5751;17933;288;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2513;11918.0408737514;5860983.06770509;Jean Muratet;621257.502511949;6227499.51844277
2844;109;11109;COUSTAUSSA;Commune simple;0;469;5952;17708;5958;17704;362;13;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2514;9714.81051009563;4548588.29749755;Karel Crombe;641704.108039493;6204420.75900191
2845;110;11110;COUSTOUGE;Commune simple;0.1;976;6332;17828;6332;17838;238;15;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2515;12000.7364648978;9152147.45759765;Maria Lanzellotti;679151.808716309;6217563.75806139
2846;111;11111;CRUSCADES;Commune simple;0.3;977;6390;17988;6390;17998;37;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2516;13658.6628336727;9887291.62829178;Maria Lanzellotti;685140.635597967;6233455.97438393
2847;112;11112;CUBIERES-SUR-CINOBLE;Commune simple;0.1;1487;6101;17619;6106;17621;588;13;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2517;16807.5420857929;14405380.1009067;Etienne Ouvrard & Matthieu Vaslin;656420.704346373;6196077.23464605
2848;113;11113;CUCUGNAN;Commune simple;0.1;1431;6217;17609;6222;17610;425;31;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2518;21711.6445433246;14212548.4372131;Etienne Ouvrard & Matthieu Vaslin;667949.500169553;6194866.45638071
2849;114;11114;CUMIES;Commune simple;0;412;5597;18105;5589;18109;260;29;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2519;10210.0342371449;3914491.52092965;Jean Muratet;605204.613541468;6245199.46730242
2850;115;11115;CUXAC-CABARDES;Commune simple;0.9;2575;5956;18187;5953;18210;667;28;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2520;29610.8353756716;25498460.5309953;Thomas Cuypers;641586.134792911;6254990.33134057
2851;116;11116;CUXAC-D'AUDE;Commune simple;4.3;2187;6539;18050;6544;18063;11;14;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2521;22131.1702697051;22864782.2302;Camille Montegu;700522.572014282;6239864.44459973
2852;117;11117;DAVEJEAN;Commune simple;0.1;1367;6220;17730;6220;17729;456;23;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2522;15186.6866624032;13660675.1031404;Etienne Ouvrard & Matthieu Vaslin;667890.870300264;6206705.57008161
2853;118;11118;DERNACUEILLETTE;Commune simple;0;790;6213;17695;6213;17695;457;23;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2523;12315.3316245223;7733941.61231782;Etienne Ouvrard & Matthieu Vaslin;667175.808512122;6203358.39352825
2854;119;11119;LA DIGNE-D'AMONT;Commune simple;0.3;376;5855;17820;5856;17818;265;20;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2524;8173.21396596233;3907515.37625544;Karel Crombe;631630.81921144;6215904.50972247
2855;120;11120;LA DIGNE-D'AVAL;Commune simple;0.5;323;5872;17826;5871;17826;244;20;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2525;7744.25961223091;3100523.6726957;Karel Crombe;633114.169317421;6216710.20768949
2856;121;11121;DONAZAC;Commune simple;0.1;523;5822;17861;5823;17862;284;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2526;10209.3049536229;4854041.34757491;Karel Crombe;628385.799522366;6220372.08795974
2857;122;11122;DOUZENS;Commune simple;0.6;1475;6212;17981;6224;17974;154;06;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2527;17558.2703823563;15015244.5777421;Maria Lanzellotti;668480.328005849;6231227.18404902
2858;123;11123;DUILHAC-SOUS-PEYREPERTUSE;Commune simple;0.1;2140;6188;17622;6188;17625;493;31;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2528;22563.9155063686;21475829.0864993;Etienne Ouvrard & Matthieu Vaslin;664644.273309013;6196362.96735584
