Acacia.longifolia;Aix.sponsa;Amazona.aestiva;Arocatus.longiceps;Arundo.donaciformis;Asparagus.asparagoides;Attalus.maculicollis;Bartheletia.paradoxa;Belgrandiella.saxatilis;Bofilliella.subarcuata;Bruchus.lentis;Brunfelsia.australis;Charonia.tritonis;Clavaria.aurantia;Conistra.rubiginosa;Cryptolaemus.montrouzieri;Delairea.odorata;Ectoedemia.algeriensis;Epitonium.clathrus;Eranthis.hyemalis;Euparthenia.bulinea;Flammulina.velutipes;Haminoea.exigua;Hedera.algeriensis;Jasminum.nudiflorum;Kaloplocamus.ramosus;Marcetia.mucugensis;Melinopterus.consputus;Microxeromagna.lowei;Moitessieria.collellensis;Oeosporangium.tinaei;Oinophila.v.flava;Paladilhia.vernierensis;Parafomoria.pseudocistivora;Petaloptila.aliena;Phigalia.pilosaria;Platygloea.miedzyrzecensis;Polypodium.shivasiae;Raja.undulata;Retinella.olivetorum;Romulea.bocchierii;Solemya.togata;Tethys.fimbria;Theria.primaria;Tremella.mesenterica;Trifurcula.calycotomella;Trifurcula.josefklimeschi;Truncatella.subcylindrica;Unio.mancus;Uromyces.erythronii;Vandenboschia.speciosa;x;y
0;0.01;0.12;0.14;0.01;0.01;0;0.03;0.3;0.03;0.07;0.13;0;0.1;0.13;0.03;0.15;0.04;0.02;0.16;0.01;0.14;0;0;0.14;0.01;0.08;0.12;0.04;0.12;0.15;0.02;0.27;0.07;0.09;0.47;0.02;0.05;0.13;0.01;0.07;0.09;0.01;0.09;0.46;0.03;0.11;0.03;0.09;0;0.11;3.33512828399023;44.0280262824376
0;0.02;0.13;0.14;0.01;0.01;0;0.04;0.29;0.05;0.07;0.16;0.03;0.1;0.2;0.03;0.15;0.08;0.02;0.16;0.02;0.15;0;0;0.15;0.06;0.12;0.18;0.06;0.11;0.13;0.03;0.39;0.07;0.08;0.54;0.08;0.06;0.16;0.02;0.07;0.08;0.03;0.09;0.53;0.03;0.12;0.03;0.18;0;0.1;3.3351642279052;44.034136066886
0;0.02;0.13;0.14;0.01;0;0;0.03;0.29;0.04;0.06;0.16;0.02;0.1;0.2;0.03;0.14;0.11;0.02;0.17;0.02;0.15;0;0;0.17;0.06;0.12;0.19;0.07;0.11;0.11;0.03;0.38;0.07;0.08;0.56;0.11;0.06;0.16;0.02;0.07;0.08;0.03;0.08;0.56;0.03;0.11;0.03;0.21;0.02;0.1;3.33520017953123;44.0402458723262
0;0.02;0.15;0.14;0.01;0.01;0;0.03;0.31;0.04;0.09;0.16;0.02;0.1;0.21;0.03;0.13;0.07;0.02;0.16;0.02;0.15;0;0.01;0.17;0.06;0.12;0.17;0.06;0.11;0.15;0.03;0.37;0.07;0.09;0.45;0.08;0.05;0.13;0.02;0.06;0.08;0.03;0.09;0.6;0.03;0.1;0.03;0.16;0;0.1;3.33523613887078;44.0463556986919
0;0.04;0.15;0.14;0.07;0.03;0.05;0.03;0.31;0.08;0.11;0.18;0.04;0.09;0.24;0.03;0.15;0.17;0.02;0.18;0.02;0.17;0.01;0;0.19;0.06;0.12;0.16;0.16;0.14;0.13;0.03;0.39;0.13;0.09;0.53;0.11;0.06;0.12;0.01;0.11;0.08;0.03;0.16;0.51;0.07;0.11;0.03;0.2;0.05;0.11;3.33527210592636;44.052465545917
0;0.04;0.16;0.14;0.03;0.01;0.04;0.03;0.33;0.08;0.11;0.18;0.04;0.1;0.21;0.03;0.15;0.18;0.02;0.2;0.02;0.17;0.01;0;0.19;0.06;0.12;0.18;0.15;0.16;0.18;0.03;0.37;0.14;0.09;0.5;0.13;0.06;0.13;0.01;0.1;0.08;0.03;0.16;0.55;0.08;0.13;0.03;0.2;0.09;0.11;3.33530808070043;44.058575413935
0;0.02;0.12;0.14;0.01;0.01;0.01;0.03;0.32;0.09;0.07;0.16;0.02;0.1;0.25;0.02;0.12;0.05;0.02;0.19;0.01;0.15;0;0;0.15;0.06;0.12;0.27;0.04;0.13;0.27;0.04;0.42;0.08;0.1;0.47;0.08;0.04;0.17;0.05;0.04;0.08;0.06;0.1;0.55;0.04;0.23;0.03;0.11;0;0.11;3.34341223489685;43.9974514333785
0;0;0.12;0.15;0.01;0.01;0;0.02;0.31;0.18;0.07;0.13;0;0.1;0.13;0.03;0.13;0.05;0.02;0.17;0.01;0.14;0;0;0.18;0.01;0.08;0.16;0.03;0.13;0.32;0.03;0.34;0.08;0.1;0.47;0.02;0.05;0.16;0.04;0.07;0.09;0.01;0.09;0.6;0.03;0.21;0.03;0.04;0;0.18;3.34344904753639;44.0035611089684
0;0;0.12;0.14;0.01;0;0;0.04;0.29;0.04;0.08;0.14;0.02;0.1;0.14;0.03;0.15;0.06;0.02;0.15;0.02;0.14;0;0;0.14;0.05;0.08;0.15;0.13;0.13;0.13;0.02;0.29;0.08;0.08;0.56;0.03;0.06;0.13;0.01;0.08;0.09;0.02;0.08;0.47;0.03;0.14;0.03;0.09;0;0.08;3.34348586806912;44.0096708058811
0;0;0.12;0.14;0.01;0.01;0;0.02;0.3;0.21;0.07;0.14;0.01;0.1;0.13;0.02;0.12;0.04;0.02;0.22;0.01;0.14;0;0;0.18;0.05;0.08;0.2;0.04;0.12;0.28;0.04;0.37;0.08;0.1;0.47;0.02;0.14;0.13;0.05;0.07;0.09;0.05;0.1;0.54;0.03;0.2;0.03;0.04;0;0.2;3.34352269649756;44.0157805240505
0;0;0.1;0.14;0.01;0.01;0;0.01;0.31;0.05;0.06;0.09;0;0.11;0.12;0.03;0.17;0.04;0.01;0.18;0.02;0.13;0;0;0.17;0;0.04;0.1;0.03;0.11;0.11;0.02;0.26;0.06;0.09;0.45;0.04;0.05;0.13;0.01;0.05;0.09;0;0.08;0.41;0.03;0.12;0.03;0.07;0;0.09;3.34355953282426;44.0218902634102
0.01;0;0.12;0.14;0.01;0.02;0;0.03;0.31;0.04;0.07;0.13;0;0.1;0.13;0.02;0.18;0.06;0.02;0.14;0.01;0.14;0;0;0.16;0.01;0.08;0.12;0.04;0.13;0.16;0.02;0.29;0.08;0.09;0.47;0.02;0.05;0.13;0.02;0.06;0.09;0;0.09;0.46;0.03;0.11;0.03;0.08;0;0.13;3.34359637705176;44.028000023894
0;0;0.13;0.14;0.01;0.01;0;0.02;0.29;0.13;0.07;0.13;0;0.1;0.12;0.02;0.12;0.05;0.02;0.18;0.01;0.14;0;0;0.16;0.01;0.08;0.14;0.03;0.13;0.21;0.02;0.35;0.08;0.1;0.49;0.02;0.06;0.13;0.03;0.07;0.09;0.01;0.1;0.56;0.03;0.11;0.03;0.05;0;0.22;3.3436332291826;44.0341098054355
0;0;0.13;0.14;0.01;0.01;0;0.02;0.3;0.14;0.07;0.13;0;0.1;0.12;0.02;0.14;0.06;0.02;0.17;0.01;0.14;0;0.01;0.18;0.01;0.08;0.15;0.03;0.14;0.17;0.02;0.35;0.08;0.1;0.47;0.02;0.16;0.14;0.03;0.07;0.09;0.01;0.09;0.57;0.03;0.11;0.03;0.06;0;0.21;3.34367008921933;44.0402196079687
0;0.02;0.15;0.14;0.04;0.01;0;0.03;0.29;0.05;0.07;0.16;0.02;0.1;0.18;0.03;0.16;0.07;0.02;0.17;0.02;0.15;0.01;0;0.17;0.06;0.12;0.17;0.04;0.13;0.1;0.03;0.36;0.06;0.09;0.48;0.09;0.04;0.14;0.01;0.08;0.08;0.03;0.1;0.56;0.04;0.11;0.03;0.17;0;0.1;3.34370695716448;44.046329431427
0;0.03;0.15;0.14;0.03;0.04;0.05;0.03;0.33;0.08;0.11;0.18;0.05;0.09;0.22;0.03;0.15;0.16;0.07;0.22;0.1;0.17;0.01;0;0.19;0.07;0.12;0.16;0.17;0.14;0.19;0.03;0.38;0.13;0.09;0.52;0.12;0.06;0.14;0.01;0.14;0.08;0.03;0.16;0.5;0.04;0.14;0.03;0.2;0.05;0.11;3.34374383302061;44.0524392757443
0;0.04;0.16;0.14;0.03;0.01;0.04;0.03;0.33;0.08;0.11;0.18;0.04;0.1;0.22;0.03;0.16;0.18;0.02;0.19;0.09;0.17;0.01;0;0.17;0.06;0.12;0.18;0.15;0.16;0.16;0.03;0.39;0.13;0.09;0.52;0.08;0.06;0.15;0.01;0.12;0.08;0.03;0.15;0.54;0.04;0.14;0.03;0.2;0.09;0.11;3.34378071679026;44.0585491408543
0;0.04;0.16;0.14;0.08;0.01;0.04;0.03;0.33;0.08;0.11;0.18;0.04;0.1;0.23;0.03;0.15;0.18;0.02;0.18;0.13;0.17;0.01;0;0.18;0.06;0.12;0.19;0.15;0.16;0.16;0.03;0.38;0.14;0.09;0.5;0.1;0.06;0.14;0.01;0.13;0.08;0.03;0.15;0.56;0.07;0.13;0.03;0.2;0.09;0.11;3.34381760847598;44.0646590266905
0;0.02;0.15;0.14;0.01;0.01;0;0.03;0.31;0.03;0.09;0.17;0.02;0.1;0.22;0.02;0.15;0.07;0.02;0.16;0.02;0.15;0;0;0.16;0.04;0.12;0.17;0.04;0.14;0.15;0.03;0.36;0.07;0.09;0.45;0.08;0.05;0.13;0.02;0.06;0.08;0.05;0.08;0.6;0.03;0.1;0.03;0.16;0.01;0.11;3.34385450808031;44.0707689331868
0;0.01;0.12;0.14;0.01;0.01;0.01;0.02;0.31;0.21;0.07;0.16;0.02;0.1;0.21;0.02;0.11;0.05;0.02;0.19;0.01;0.15;0;0;0.17;0.07;0.12;0.22;0.05;0.13;0.27;0.03;0.45;0.08;0.1;0.45;0.06;0.12;0.16;0.06;0.06;0.08;0.09;0.15;0.53;0.04;0.18;0.03;0.05;0;0.21;3.35187578190868;43.9974245345026
0;0;0.12;0.15;0.01;0.01;0;0.03;0.31;0.09;0.07;0.14;0.01;0.1;0.13;0.03;0.12;0.05;0.02;0.2;0.01;0.14;0;0;0.14;0.05;0.08;0.15;0.03;0.12;0.31;0.05;0.3;0.08;0.1;0.5;0.02;0.05;0.12;0.03;0.05;0.1;0.08;0.12;0.54;0.03;0.21;0.03;0.04;0;0.12;3.35191350178833;44.003534207115
0;0;0.12;0.14;0.01;0.02;0;0.03;0.31;0.03;0.07;0.14;0.01;0.1;0.13;0.02;0.14;0.06;0.02;0.15;0.01;0.14;0;0;0.13;0.05;0.08;0.11;0.04;0.13;0.17;0.02;0.32;0.08;0.1;0.44;0.03;0.05;0.16;0.02;0.07;0.09;0.04;0.1;0.53;0.03;0.12;0.03;0.06;0;0.09;3.35195122975568;44.0096439010498
0;0;0.12;0.15;0.01;0.01;0;0.03;0.32;0.08;0.07;0.14;0.01;0.1;0.15;0.03;0.13;0.04;0.02;0.18;0.01;0.14;0;0;0.18;0.05;0.08;0.16;0.04;0.12;0.28;0.04;0.3;0.08;0.09;0.51;0.03;0.04;0.15;0.03;0.05;0.1;0.08;0.1;0.53;0.03;0.22;0.03;0.05;0;0.11;3.35198896581334;44.0157536162409
0;0;0.11;0.14;0.01;0;0;0.02;0.3;0.03;0.05;0.1;0;0.1;0.15;0.02;0.16;0.04;0.02;0.13;0.02;0.14;0;0;0.17;0;0.06;0.11;0.03;0.11;0.08;0.02;0.26;0.07;0.08;0.47;0.03;0.06;0.13;0.01;0.06;0.09;0;0.07;0.47;0.03;0.12;0.03;0.07;0;0.09;3.35202670996389;44.0218633526221
0;0;0.11;0.14;0.01;0.02;0;0.02;0.3;0.04;0.07;0.1;0.01;0.1;0.14;0.03;0.17;0.04;0.02;0.16;0.02;0.14;0;0;0.18;0.02;0.06;0.1;0.04;0.11;0.09;0.02;0.27;0.07;0.08;0.49;0.03;0.05;0.13;0.01;0.06;0.09;0;0.08;0.48;0.03;0.11;0.03;0.07;0;0.09;3.35206446220995;44.0279731101269
0;0;0.13;0.14;0.01;0.01;0;0.03;0.31;0.04;0.07;0.14;0.01;0.1;0.14;0.02;0.14;0.05;0.02;0.15;0.01;0.14;0;0.01;0.16;0.05;0.08;0.13;0.04;0.13;0.19;0.01;0.29;0.08;0.1;0.52;0.02;0.07;0.13;0.03;0.05;0.09;0.05;0.1;0.57;0.03;0.11;0.03;0.07;0;0.11;3.35210222255412;44.0340828886892
0;0;0.13;0.14;0.01;0.02;0;0.04;0.31;0.05;0.09;0.14;0.01;0.1;0.13;0.02;0.17;0.06;0.02;0.15;0.01;0.14;0;0;0.19;0.05;0.08;0.14;0.07;0.18;0.16;0.02;0.31;0.08;0.08;0.49;0.02;0.06;0.14;0.02;0.08;0.09;0.03;0.1;0.55;0.03;0.12;0.03;0.08;0;0.12;3.352139990999;44.0401926882427
0;0.02;0.15;0.14;0.04;0.01;0;0.03;0.28;0.04;0.08;0.17;0.03;0.1;0.18;0.03;0.14;0.11;0.02;0.17;0.02;0.15;0.01;0;0.16;0.08;0.12;0.2;0.03;0.11;0.1;0.03;0.38;0.07;0.08;0.54;0.11;0.04;0.17;0.01;0.08;0.08;0.03;0.1;0.53;0.04;0.12;0.03;0.22;0.02;0.1;3.35217776754721;44.0463025087211
0;0.04;0.15;0.14;0.03;0.01;0.04;0.03;0.33;0.08;0.11;0.18;0.04;0.09;0.22;0.03;0.15;0.18;0.02;0.19;0.09;0.17;0.01;0;0.17;0.06;0.12;0.18;0.15;0.16;0.16;0.03;0.41;0.13;0.09;0.53;0.12;0.06;0.15;0.01;0.12;0.08;0.03;0.15;0.53;0.04;0.14;0.03;0.23;0.05;0.11;3.35221555220134;44.0524123500581
0;0.04;0.15;0.15;0.05;0.01;0.04;0.03;0.33;0.08;0.12;0.18;0.03;0.1;0.24;0.03;0.15;0.19;0.02;0.2;0.12;0.15;0.01;0;0.21;0.06;0.12;0.18;0.16;0.16;0.13;0.05;0.4;0.12;0.09;0.49;0.09;0.06;0.14;0.01;0.11;0.08;0.03;0.15;0.54;0.04;0.14;0.03;0.23;0.06;0.1;3.35225334496402;44.0585222121874
0;0.04;0.15;0.14;0.04;0.01;0.04;0.03;0.33;0.08;0.12;0.18;0.05;0.1;0.22;0.03;0.16;0.19;0.07;0.21;0.04;0.15;0.01;0;0.19;0.06;0.12;0.18;0.16;0.16;0.18;0.05;0.39;0.13;0.09;0.51;0.12;0.06;0.14;0.01;0.1;0.08;0.03;0.15;0.52;0.04;0.14;0.03;0.23;0.06;0.11;3.35229114583785;44.0646320950427
0;0.02;0.15;0.14;0.01;0.01;0;0.03;0.33;0.03;0.09;0.17;0.02;0.1;0.21;0.02;0.15;0.08;0.02;0.16;0.02;0.15;0;0;0.15;0.04;0.12;0.17;0.04;0.16;0.15;0.03;0.35;0.07;0.1;0.46;0.08;0.05;0.13;0.03;0.06;0.08;0.05;0.1;0.6;0.03;0.1;0.03;0.13;0.01;0.12;3.35232895482544;44.0707419985576
0;0.02;0.15;0.14;0.01;0.01;0;0.03;0.3;0.05;0.07;0.14;0;0.12;0.14;0.03;0.13;0.03;0.03;0.24;0.02;0.14;0;0;0.29;0.01;0.12;0.14;0.04;0.12;0.13;0.02;0.26;0.05;0.1;0.53;0.08;0.05;0.12;0.01;0.07;0.1;0.01;0.1;0.5;0.03;0.11;0.03;0.11;0;0.13;3.35236677192941;44.0768519226658
0;0.04;0.15;0.14;0.06;0;0.01;0.03;0.32;0.08;0.09;0.14;0.01;0.12;0.18;0.03;0.15;0.1;0.09;0.24;0.13;0.13;0.01;0.01;0.25;0.01;0.12;0.16;0.16;0.16;0.17;0.02;0.26;0.08;0.09;0.56;0.12;0.06;0.14;0.01;0.14;0.09;0;0.14;0.52;0.04;0.16;0.03;0.13;0;0.13;3.35240459715236;44.0829618673011
0.01;0.01;0.11;0.16;0.01;0.01;0;0.02;0.31;0.19;0.07;0.16;0.02;0.1;0.18;0.03;0.12;0.05;0.02;0.24;0.01;0.15;0;0;0.16;0.05;0.12;0.26;0.05;0.12;0.3;0.04;0.39;0.07;0.1;0.49;0.06;0.12;0.15;0.06;0.06;0.09;0.12;0.15;0.5;0.03;0.24;0.03;0.03;0;0.2;3.36030070199779;43.991287332593
0.01;0;0.12;0.16;0.01;0.01;0;0.02;0.31;0.19;0.07;0.16;0.02;0.1;0.19;0.03;0.12;0.04;0.02;0.22;0.01;0.15;0;0;0.17;0.05;0.12;0.26;0.04;0.12;0.28;0.06;0.35;0.08;0.1;0.51;0.04;0.13;0.15;0.06;0.04;0.1;0.09;0.12;0.5;0.03;0.24;0.03;0.04;0;0.19;3.36033932083541;43.9973969807669
0;0;0.12;0.15;0.01;0.03;0;0.03;0.32;0.09;0.07;0.14;0.01;0.1;0.15;0.03;0.16;0.04;0.02;0.15;0.01;0.14;0;0;0.14;0.05;0.08;0.15;0.04;0.13;0.28;0.04;0.31;0.09;0.09;0.51;0.02;0.04;0.12;0.03;0.05;0.1;0.06;0.1;0.43;0.03;0.22;0.03;0.06;0;0.1;3.36037794795257;44.0035066503292
0;0;0.11;0.14;0.01;0.02;0;0.02;0.3;0.04;0.07;0.13;0;0.1;0.13;0.02;0.16;0.04;0.02;0.15;0.02;0.14;0;0;0.14;0.01;0.07;0.09;0.02;0.13;0.14;0.02;0.32;0.06;0.1;0.48;0.02;0.04;0.13;0.02;0.07;0.09;0;0.09;0.48;0.03;0.12;0.03;0.06;0;0.09;3.36041658335195;44.0096163412137
0;0;0.11;0.14;0.01;0.02;0;0.02;0.31;0.04;0.07;0.13;0;0.1;0.14;0.02;0.14;0.04;0.02;0.13;0.01;0.14;0;0;0.18;0.01;0.07;0.1;0.02;0.13;0.15;0.02;0.3;0.07;0.09;0.51;0.02;0.05;0.13;0.02;0.07;0.09;0.01;0.09;0.48;0.03;0.12;0.03;0.06;0;0.1;3.36045522703621;44.015726053354
0;0.01;0.1;0.15;0.01;0.01;0;0.01;0.29;0.05;0.04;0.1;0;0.12;0.16;0.02;0.13;0.04;0.13;0.34;0.02;0.14;0.02;0;0.56;0;0.04;0.09;0.01;0.11;0.06;0.03;0.25;0.07;0.08;0.6;0.03;0.03;0.13;0.01;0.04;0.1;0.04;0.15;0.42;0.04;0.11;0.03;0.04;0;0.1;3.36049387900801;44.0218357866841
0.01;0;0.11;0.14;0.01;0.01;0;0.02;0.31;0.04;0.07;0.13;0;0.1;0.13;0.02;0.13;0.04;0.02;0.15;0.02;0.14;0;0.01;0.18;0.01;0.07;0.1;0.02;0.11;0.14;0.02;0.26;0.09;0.08;0.48;0.02;0.04;0.13;0.01;0.05;0.09;0.01;0.09;0.5;0.03;0.11;0.03;0.07;0;0.1;3.36053253927002;44.0279455411375
0;0.01;0.13;0.14;0.01;0.01;0;0.03;0.3;0.05;0.07;0.16;0.02;0.1;0.17;0.02;0.13;0.04;0.02;0.16;0.01;0.15;0;0;0.18;0.06;0.12;0.12;0.05;0.13;0.18;0.01;0.31;0.08;0.11;0.51;0.04;0.05;0.16;0.05;0.04;0.09;0.04;0.1;0.49;0.03;0.15;0.03;0.06;0;0.1;3.36057120782491;44.034055316648
