longitude;latitude;ScoreTot;ScoreRatio
2.65836859379925;43.9119222190648;0.153;2.42359752321981
2.65840515283996;43.9058128708235;0.124;2.37321889629735
2.65844170405696;43.8997035449641;0.1255;2.37791954433595
2.65847824745277;43.8935942415526;0.14;2.2208976777939
2.65851478302989;43.8874849606553;0.1305;1.56044055944056
2.65855131079084;43.8813757023381;0.1515;1.83501260504202
2.65858783073811;43.8752664666673;0.1295;1.72157142857143
2.65862434287423;43.8691572537089;0.1995;2.01701512401694
2.65866084720168;43.863048063529;0.138;1.6367380952381
2.65869734372299;43.8569388961936;0.134;1.65898527935764
2.65873383244064;43.8508297517688;0.1485;1.78416426253155
2.65877031335715;43.8447206303207;0.238;2.04038197767145
2.65880678647502;43.8386115319154;0.1285;1.57532406755806
2.65884325179674;43.8325024566188;0.203;1.76606119861424
2.65887970932481;43.8263934044971;0.1345;2.36725529228085
2.65891615906174;43.8202843756161;0.1915;1.92439548022599
2.65895260101003;43.8141753700421;0.1465;2.82274107142857
2.65898903517215;43.8080663878409;0.1445;2.5920709320471
2.65902546155063;43.8019574290786;0.132;2.38736329460014
2.65906188014793;43.7958484938212;0.1235;1.58236165577342
2.65909829096657;43.7897395821346;0.1195;2.22536645430042
2.65913469400903;43.7836306940849;0.135;2.35289344262295
2.65917108927779;43.777521829738;0.16;2.02941610436347
2.65920747677537;43.7714129891599;0.144;2.60333333333333
2.65924385650423;43.7653041724166;0.1485;2.64885387488329
2.65928022846687;43.7591953795739;0.1725;3.35742365456821
2.65931659266577;43.7530866106979;0.2495;2.97034848484849
2.65935294910342;43.7469778658545;0.2585;3.55043461710703
2.65938929778231;43.7408691451096;0.2475;2.90890404040404
2.66656967204747;43.9547144035315;0.1195;1.47776878858846
2.66660538023542;43.9486048975776;0.1365;1.85563461538462
2.66664108077602;43.9424954135428;0.1405;2.54029112041685
2.66667677367171;43.9363859514933;0.164;3.00111029411765
2.66671245892495;43.9302765114954;0.1335;1.77790909090909
2.66674813653821;43.9241670936151;0.1375;1.58463999559762
2.66678380651392;43.9180576979186;0.138;2.46051960784314
2.66681946885455;43.9119483244721;0.158;2.62044117647059
2.66685512356254;43.9058389733416;0.1765;2.00815692007797
2.66689077064034;43.8997296445934;0.126;2.29779920389208
2.66692641009041;43.8936203382934;0.1255;2.28390515222482
2.66696204191519;43.887511054508;0.124;1.48473544973545
2.66699766611713;43.881401793303;0.1305;1.49779973474801
