Group.1,Group.2,x
5798b806fc1573000d9dfde9,FALSE,233
5798b8c54bbec1000cfa396e,FALSE,247
5798bdba4bbec1000ef2faa3,FALSE,243
5798bfabfc1573000c002fe0,FALSE,246
5798c0d24bbec1000cfa3a14,FALSE,236
579f1b0f254fe2000cc94d88,FALSE,46
579f42a5254fe2000da54f37,FALSE,47
57a450e11383d9000e50e23d,FALSE,46
57a8a7386babba000e966a5a,FALSE,246
57ada3363b516a000ecbc121,FALSE,244
57adcbf8a3c498000d8f94a6,FALSE,241
57adda48a3c498000e982588,FALSE,247
57ade5f93b516a000ecbc8a9,FALSE,245
57b33d9af16cf3000eeef9bf,FALSE,243
57b33ecbf16cf3000c913144,FALSE,231
57b343ddf16cf3000c913150,FALSE,46
57bb09ff992d9c000c787465,FALSE,236
57bb0a94189513000e795054,FALSE,247
57bb0b23189513000da73678,FALSE,209
57bb0b66992d9c000ddde823,FALSE,220
57bb0c61992d9c000ec804d8,FALSE,238
57bb0cec992d9c000ddde832,FALSE,245
57bb10d4992d9c000ec804f6,FALSE,247
57bb1114189513000ce421d5,FALSE,195
57bb1174189513000e795088,FALSE,247
57bb11ac992d9c000ec80500,FALSE,246
57bb1237189513000e795091,FALSE,241
57bb12a9992d9c000ec80508,FALSE,235
57bb132c189513000ce421ec,FALSE,238
57bb1368992d9c000ec8050e,FALSE,242
57bb13c6992d9c000ec80512,FALSE,246
57bb13fd992d9c000ec80514,FALSE,237
57bb1536189513000ce421fa,FALSE,245
57bb1593189513000da736be,FALSE,247
57bc21f4189513000e795f10,FALSE,46
57bc235b992d9c000dddf752,FALSE,247
57bd50cf2417ea000e145f11,FALSE,247
57bd51042417ea000df3a2f2,FALSE,247
57bd51caffdbe1000e09f11c,FALSE,245
57bd51ff2417ea000cd0dbdb,FALSE,245
57bd52ecffdbe1000d56297e,FALSE,240
57bd53312417ea000df3a2f7,FALSE,247
57bd5433ffdbe1000e09f124,FALSE,245
57bd54e22417ea000cd0dbe0,FALSE,246
57bd5a91ffdbe1000e09f12b,FALSE,244
57bd5ac22417ea000e145f1b,FALSE,238
57bd5b0cffdbe1000d562989,FALSE,247
57bd5b3b2417ea000cd0dbe6,FALSE,242
57bd5b9fffdbe1000c46a8ea,FALSE,246
57bd5bd32417ea000cd0dbe8,FALSE,246
57bd5c1cffdbe1000c46a8ed,FALSE,244
57bd5c48ffdbe1000c46a8f1,FALSE,242
57bd5c9b2417ea000cd0dbeb,FALSE,230
57bd5ce7ffdbe1000e09f12f,FALSE,245
57be9c981fae99000d76094e,FALSE,245
57be9cc3edd490000e1a6e0c,FALSE,247
57bea2fb1fae99000d760995,FALSE,245
57bea3211fae99000c7e36bd,FALSE,247
57bea368edd490000dfb1df5,FALSE,205
57bea3c61fae99000eb9ec9b,FALSE,227
57bea3ee1fae99000eb9eca1,FALSE,243
57bea42fedd490000dfb1dfe,FALSE,243
57bea46cedd490000e1a6e60,FALSE,238
57bea48eedd490000e1a6e63,FALSE,246
57bea4cf1fae99000d7609ae,FALSE,234
57bea4fb1fae99000c7e36de,FALSE,245
57bea53cedd490000cf64dbb,FALSE,209
57bea5601fae99000eb9ecba,FALSE,244
57bea6071fae99000eb9ecc9,FALSE,236
57bea62e1fae99000c7e36fb,FALSE,240
57bea6661fae99000eb9ecd1,FALSE,245
57bea690edd490000dfb1e1c,FALSE,245
57bf12c6346d52000d1af0d3,FALSE,219
57bf132b346d52000c131e7d,FALSE,243
57bf1389346d52000c131e83,FALSE,244
57bf13b5346d52000e17e305,FALSE,241
57bf1419d449f4000ea65eb3,FALSE,239
57bf1442d449f4000ce5b552,FALSE,246
57bf1487346d52000e17e312,FALSE,247
57bf14c7346d52000c131e9b,FALSE,244
57bf14f2d449f4000d1bca54,FALSE,239
57bf1537346d52000c131ea2,FALSE,239
57bf1561d449f4000d1bca5a,FALSE,245
57bf1672346d52000d1af111,FALSE,245
57bf16a2346d52000e17e33b,FALSE,242
57bf16e4d449f4000ce5b57e,FALSE,246
57bf1746346d52000c131ebb,FALSE,244
57bf2108d449f4000ce5b648,FALSE,46
57c04eef2ca6c0000e8c74f8,FALSE,46
57c433ea809d44000ebeaac5,FALSE,46
57c45ab63c830c000d8dd516,FALSE,226
57c5483b179f9f000c63f235,FALSE,46
57c54be1179f9f000c63f239,FALSE,244
57c686364e4e01000e57be79,FALSE,225
57c6d4ec1244b0000d395ff0,FALSE,46
57c6f8094e4e01000d3bda29,FALSE,46
57c80570810100000ddab3de,FALSE,237
57c805f9810100000ddab3e2,FALSE,46
57c8078c810100000ddab3e7,FALSE,168
57cd2422b9957b000db44888,FALSE,46
57cd2a3b9abe19000dd0f48d,FALSE,243
57cdda6712621f000de887ca,FALSE,244
57ceee8e00439b0018ae7bee,FALSE,245
57ceeef812621f000de899a3,FALSE,246
57ceef5b12621f000cae8fb8,FALSE,248
57ceefe200439b000d8d93c5,FALSE,246
57cef02412621f000ef228a2,FALSE,246
57cef0af00439b0018ae7c1a,FALSE,243
57cef12212621f000ef228b3,FALSE,246
57cef16712621f000de899cd,FALSE,244
57d020708aeca2000c3a14ea,FALSE,247
57d025768346500021b07869,FALSE,243
57d02615834650000efc146e,FALSE,247
57d026c08346500024dffa19,FALSE,243
57d026f88346500024dffa37,FALSE,247
57d027988346500021b0796b,FALSE,245
57d027c88aeca2000e05d567,FALSE,245
57d0282b8aeca2000e05d596,FALSE,247
57d028608346500021b079c8,FALSE,244
57d028bc8aeca2000c3a198a,FALSE,248
57d028ec8346500021b079ff,FALSE,205
57d029a48aeca2000e05d62c,FALSE,247
57d02a1b834650000efc15ff,FALSE,236
57d02a4d8aeca2000e05d67d,FALSE,243
57d02ab58aeca2000e05d6a9,FALSE,242
57d02ae78aeca2000c3a1a63,FALSE,243
57d02b818aeca2000da3161a,FALSE,244
57d02bb58346500024dffc01,FALSE,245
57d02d698346500024dffc17,FALSE,247
57d02da4834650000efc16c0,FALSE,247
57d11ba197f4e2000eb36d0b,FALSE,239
57d65ea15f51c6000d5f386c,FALSE,46
57d6606ac7d301000d569af1,FALSE,46
57d6d5db5f51c600189b240a,FALSE,205
57d6d60dc7d301001555a63a,FALSE,205
57d6d6645f51c60015ec24f0,FALSE,232
57d705a3c7d301001b30fd4b,FALSE,205
57d705ecc7d301001555a63e,FALSE,205
57d70623c7d301001555a640,FALSE,205
57d7082dc7d301001b30fd4d,FALSE,205
57d708ec5f51c6000c1017e1,FALSE,244
57d709555f51c60015ec24f2,FALSE,205
57d709c2c7d30100183cf51b,FALSE,243
57d7ab214afc01000e86a40f,FALSE,205
57d7ab611cf80e000c73efea,FALSE,205
57d7ab9b4afc01000dabc595,FALSE,205
57d7ca044afc01000dabce9e,FALSE,214
57d7fa8b4afc01000e86b1bd,FALSE,46
57d97963b65461000e564a70,FALSE,215
57d97a37cba551000e936853,FALSE,211
57dfa35213d3710015bfa230,FALSE,216
57dfe148e4a133000e88638c,FALSE,46
57e11859a544d3000dbf80ae,FALSE,213
57e12e61a544d3000dbf8251,FALSE,185
57e133c4a544d3000dbf82a9,FALSE,205
57e163f4a544d3000cce7de0,FALSE,205
57e190ae2e6a7c000d2eeb7e,FALSE,46
57e190ea94b3d6000c595edf,FALSE,46
57e263cb0c6165000ea80729,FALSE,205
57e26a592e6a7c000e487fe5,FALSE,214
57e282d32e6a7c000e48838b,FALSE,205
57e284972e6a7c000e4883c5,FALSE,217
57e2a1d10c6165000ea80faf,FALSE,205
57e2b1c32e6a7c000e488966,FALSE,244
57e3b989476c84000ecd0272,FALSE,216
57e3c25d1a1ab8000df4aefd,FALSE,216
57e3c2f0476c84000ca1c78d,FALSE,217
57e3d7ae1a1ab8000df4b116,FALSE,205
57e3f698476c84000da47616,FALSE,206
57e3f976476c84000ca1cdf6,FALSE,205
57e3ff97476c84000da4774f,FALSE,216
57e500f7af7f30000da70647,FALSE,216
57e51b13787b2e000e505282,FALSE,207
57e54bb0787b2e001894ddec,FALSE,46
57e59a913b948f000e5701ef,FALSE,102
57f3bc2ca5b37e000ef2bf93,FALSE,238
57f654f8c0db16000d29c911,FALSE,248
57f6a0af9bda8e000d9164d9,FALSE,234
57f73789fea697000cd575e6,FALSE,205
57f77b90fea697000d7de553,FALSE,205
57f7ca4911537b000e89398f,FALSE,240
57f7f371fea697000cd5944b,FALSE,205
57fb721a03fe8f000c185042,FALSE,205
57fbdda503fe8f000eff296d,FALSE,205
57fc7be79b643c000d118b95,FALSE,205
57fcf91a094acd000e508d77,FALSE,222
57fd5fbf094acd000c8b8246,FALSE,205
57fdcef6b6c52c000def36d9,FALSE,241
57fe9b4e9b436e000e714d0b,FALSE,227
57ff1f6ae403ab000d6ebaf2,FALSE,205
57ff6f0db7c8d4000d36cb94,FALSE,218
57ff6ff4e403ab000d6ec021,FALSE,218
57ff7da4b7c8d4000c37995f,FALSE,243
57ffab8ce403ab000ca76473,FALSE,218
57ffac57b7c8d4000d36d34a,FALSE,217
57fface8e403ab000d6ec7cc,FALSE,212
57ffad7ae403ab000d6ec7d9,FALSE,215
57ffadeab7c8d4000e31d069,FALSE,205
57ffae55b7c8d4000e31d072,FALSE,205
