"Directory or file in ""/sps/mnhn""";Space used;# of files;Average file size;Median file size;# of directories;# of symlinks;Most recent file access time;Most recent file modification time;participation;site;point;user;date;enregistreur;micro;latitude;longitude;carre
vigiechiro/vigiechiro-prod-datastore/60f3eab5300fa4001042d705;17.15 GiB;11578;1.52 MiB;2.44 KiB;0;0;2021/07/26 10:36;2021/07/26 10:43;60f3eab5300fa4001042d705;5d358534217d24000d7fca8e;E1;5d358309217d24000d7fc977;2021-07-17T19:00:00Z;Audiomoth;;47.5200436285029;5.18332320760715;Vigiechiro - Point Fixe-210776
vigiechiro/vigiechiro-prod-datastore/60f4360f300fa4001042dac1;1.03 GiB;6925;156.58 KiB;2.23 KiB;0;0;2021/07/23 01:41;2021/07/21 15:19;60f4360f300fa4001042dac1;5b5eb1f22017bd000fe13b65;Z2;5f3512bb69c3d1000f886f37;2021-07-17T19:41:00Z;PassiveRecorder;;47.1258987763908;4.78182912759246;Vigiechiro - Point Fixe-211904
vigiechiro/vigiechiro-prod-datastore/60f6b40c3a32f20010ead2ed;22.03 GiB;1116;20.21 MiB;20.51 MiB;0;0;2021/07/22 15:37;2021/07/20 19:15;60f6b40c3a32f20010ead2ed;60f594a178dccc000f058a4e;H2;6050e0cc68e5e6000f80b656;2021-07-19T19:15:00Z;Audiomoth;;48.3052714878547;2.7053247759922;Vigiechiro - Point Fixe-771304
vigiechiro/vigiechiro-prod-datastore/60f90b1c78f9460010021de8;41.82 GiB;40201;1.07 MiB;90.96 KiB;0;0;2022/10/20 12:30;2022/10/20 12:50;60f90b1c78f9460010021de8;5eb12120cbe7410011f0a97f;Z4;5defb3048d1fa6000deb3e0d;2021-06-16T18:30:00Z;;;43.5221946305196;5.4658934428662;Vigiechiro - Point Fixe-130711
vigiechiro/vigiechiro-prod-datastore/60f988b0d7670000108c0ea0;22.45 GiB;1122;20.49 MiB;20.51 MiB;0;0;2021/07/24 08:59;2021/07/22 21:17;60f988b0d7670000108c0ea0;60f91fe4d76700000f4ba901;Z2;6050e0cc68e5e6000f80b656;2021-07-21T19:11:00Z;Audiomoth;;48.3583790511003;2.71041297672742;Vigiechiro - Point Fixe-771231
vigiechiro/vigiechiro-prod-datastore/60fa71fc585d01001132c81b;22.04 GiB;24452;945.12 KiB;70.93 KiB;0;0;2021/12/02 09:59;2021/12/02 09:59;60fa71fc585d01001132c81b;60e0124e2002c60010c78b29;Z3;5c98bd76485187000fb744c1;2021-07-19T18:50:00Z;SM2BAT+;SMX-U1;43.4012431351545;3.42272513902582;Vigiechiro - Point Fixe-341313
vigiechiro/vigiechiro-prod-datastore/60fbda32d3e340000f6afbec;31.45 GiB;18026;1.79 MiB;88.48 KiB;0;0;2021/10/13 09:17;2021/10/13 09:17;60fbda32d3e340000f6afbec;60d1ccf85275650010464ea8;Z1;5d3212302b56c4000f6a31f3;2021-06-14T18:51:00Z;;;43.8836879601836;4.92155867945376;Vigiechiro - Point Fixe-130025
vigiechiro/vigiechiro-prod-datastore/60fd8f99be062b000fa69e2f;6.03 GiB;3801;1.62 MiB;32.45 KiB;0;0;2021/07/25 21:46;2021/07/25 21:46;60fd8f99be062b000fa69e2f;5cd1571edeaeaf000e1da7dc;E1;5b4b2a89689f11000d9c0f93;2021-07-08T14:40:00Z;Batlogger;;47.5611374997114;3.16475784721024;Vigiechiro - Point Fixe-891636
vigiechiro/vigiechiro-prod-datastore/60fda414be062b0011fc23bf;13.58 GiB;10124;1.37 MiB;63.52 KiB;0;0;2021/08/24 15:38;2021/08/24 15:38;60fda414be062b0011fc23bf;5963be9bae80f3000e81cce8;Z2;5d3212302b56c4000f6a31f3;2021-06-21T18:52:00Z;;;43.7215209675389;6.97340816259384;Vigiechiro - Point Fixe-060938
vigiechiro/vigiechiro-prod-datastore/60febb4e675a26000f5c13d0;31.86 GiB;26781;1.22 MiB;10.15 KiB;0;0;2021/10/15 18:57;2021/10/15 00:54;60febb4e675a26000f5c13d0;60f6e4d607b7940011780ba5;Z2;5ca751a784f0c8000d000268;2021-07-19T19:30:00Z;Audiomoth;;48.9221668575848;2.29688885245321;Vigiechiro - Point Fixe-920007
