"Directory or file in ""/sps/mnhn""";Space used;# of files;Average file size;Median file size;# of directories;# of symlinks;Most recent file access time;Most recent file modification time;participation;site;point;user;date;enregistreur;micro;latitude;longitude;carre
vigiechiro/vigiechiro-prod-datastore/55de9d24fdfe23000dc82e1d;19.14 GiB;35505;565.36 KiB;5.79 KiB;2;0;2022/06/23 16:27;2022/06/23 16:27;55de9d24fdfe23000dc82e1d;55de3072fdfe23000eef1182;Z1;558acd059dcbdc000e0793ee;2014-11-15T11:00:00Z;SM2BAT+;Micro interne;44.600693042626;5.16294121742249;Vigiechiro - Point Fixe-260947
vigiechiro/vigiechiro-prod-datastore/55eda15f73ac72000d26ad3b;30.13 GiB;29648;1.04 MiB;44.37 KiB;2;0;2022/06/23 16:27;2022/06/23 16:27;55eda15f73ac72000d26ad3b;55de3072fdfe23000eef1182;Z3;558acd059dcbdc000e0793ee;2015-07-12T19:40:00Z;SM2BAT+;Micro interne;44.600693042626;5.16294121742249;Vigiechiro - Point Fixe-260947
vigiechiro/vigiechiro-prod-datastore/56fd088fac03c9000de223bd;23.60 GiB;39569;625.51 KiB;3.14 KiB;0;0;2019/10/11 14:04;2019/09/19 18:31;56fd088fac03c9000de223bd;5656e62cb20ecb0018530b49;Z1;558acd059dcbdc000e0793ee;2013-07-21T18:45:00Z;SM2BAT+;SMX-US;42.563369679505;2.52705931663513;Vigiechiro - Point Fixe-660597
vigiechiro/vigiechiro-prod-datastore/5768ded41f812d0015eb9d28;50.36 GiB;46683;1.10 MiB;633.00 B;0;0;2022/06/09 14:46;2022/06/09 14:46;5768ded41f812d0015eb9d28;57531c5f269996000dc2f21c;Z1;558acd059dcbdc000e0793ee;2016-05-26T18:30:00Z;SM2BAT+;SMX-US;43.729696803583;3.8307335972786;Vigiechiro - Point Fixe-340334
vigiechiro/vigiechiro-prod-datastore/579a1f1f8b10e500170a9479;23.60 GiB;21614;1.12 MiB;48.53 KiB;0;0;2022/06/06 10:40;2022/06/06 10:40;579a1f1f8b10e500170a9479;579a1d2cd8c66a000c810479;D2;5b0f069d0ded28000fe09ba1;2014-09-14T19:14:00Z;SM2BAT+;SMX-US;44.3064529688323;5.18408238887787;Vigiechiro - Point Fixe-261492
vigiechiro/vigiechiro-prod-datastore/57a1c86adb6467000d0cbaad;70.81 GiB;59624;1.22 MiB;107.84 KiB;0;0;2019/09/22 16:12;2019/09/20 00:55;57a1c86adb6467000d0cbaad;57a1c672695514000efde1ee;A1;587cf578f63f32000f25fc90;2014-07-30T21:00:00Z;SM2BAT+;;44.0372416344456;2.01659202575684;Vigiechiro - Point Fixe-810183
vigiechiro/vigiechiro-prod-datastore/57b6d25b77f6c1000ec40c17;14.91 GiB;14055;1.09 MiB;39.85 KiB;0;0;2022/06/23 16:27;2022/06/23 16:27;57b6d25b77f6c1000ec40c17;57b4884a690dd8000d54f674;Z2;562f85355e04c6000c1e5e45;2016-07-10T19:30:00Z;SM2BAT+;SMX-US;43.9452294838202;5.29379814863205;Vigiechiro - Point Fixe-840573
vigiechiro/vigiechiro-prod-datastore/57b708dc6821e5000cac73a7;4.98 GiB;5658;923.59 KiB;14.83 KiB;0;0;2022/06/15 23:11;2022/06/16 18:14;57b708dc6821e5000cac73a7;579f7f7e254fe2000cc9558b;Z1;558acd059dcbdc000e0793ee;2012-06-02T18:50:00Z;SM2BAT+;SMX-US;43.3848676735143;2.86778032779694;Vigiechiro - Point Fixe-341336
vigiechiro/vigiechiro-prod-datastore/57bd72c8ffdbe1000e09f135;14.83 GiB;21471;724.33 KiB;4.84 KiB;0;0;2022/06/16 05:38;2022/06/17 00:31;57bd72c8ffdbe1000e09f135;5794fb4e2a2430000c574a5d;Z2;558acd059dcbdc000e0793ee;2016-08-19T18:20:00Z;SM2BAT+;SMX-U1;43.7434059780651;3.77097129821777;Vigiechiro - Point Fixe-340289
vigiechiro/vigiechiro-prod-datastore/57cabf399ecd86000d8832ec;19.06 GiB;17057;1.14 MiB;73.72 KiB;0;0;2022/06/16 01:19;2022/06/16 20:08;57cabf399ecd86000d8832ec;5767acc0674c70000ee434aa;Z5;562f85355e04c6000c1e5e45;2016-09-02T17:30:00Z;SM2BAT+;SMX-US;43.8921228915225;5.34007765352726;Vigiechiro - Point Fixe-840638
vigiechiro/vigiechiro-prod-datastore/57d5635805fe87001603560e;20.88 GiB;20889;1.02 MiB;54.18 KiB;0;0;2022/06/16 05:09;2022/06/17 00:18;57d5635805fe87001603560e;5767acc0674c70000ee434aa;B1;562f85355e04c6000c1e5e45;2016-09-07T17:30:00Z;SM2BAT+;SMX-US;43.8921228915225;5.34007765352726;Vigiechiro - Point Fixe-840638
vigiechiro/vigiechiro-prod-datastore/5819b58a25353d000cf6c2c3;59.80 GiB;36788;1.66 MiB;4.87 KiB;0;0;2022/06/09 14:07;2022/06/09 14:07;5819b58a25353d000cf6c2c3;5819b49225353d000e32cf60;Z1;57b44fb8d2be26000d2b9ff3;2016-07-23T18:45:00Z;;;43.5329489233754;3.84102523326874;Vigiechiro - Point Fixe-340940
vigiechiro/vigiechiro-prod-datastore/581f2e2c761ad5000ca7088c;7.49 GiB;40280;194.89 KiB;362.00 B;0;0;2022/06/26 14:56;2022/06/26 15:13;581f2e2c761ad5000ca7088c;57344eb46b9acb000d4c6960;Z8;561e4e86d37212000eead250;2016-04-04T10:00:00Z;SM2BAT+;SMX-US;46.4028239968184;-0.595554471146897;Vigiechiro - Point Fixe-851589
vigiechiro/vigiechiro-prod-datastore/58457296ea182d000f04edc2;54.74 GiB;31444;1.78 MiB;5.62 KiB;0;0;2022/06/09 12:58;2022/06/09 12:58;58457296ea182d000f04edc2;5819b49225353d000e32cf60;Z2;57b44fb8d2be26000d2b9ff3;2016-07-23T18:45:00Z;;;43.5329489233754;3.84102523326874;Vigiechiro - Point Fixe-340940
vigiechiro/vigiechiro-prod-datastore/584573d3ea182d000ef0d5d7;27.74 GiB;16720;1.70 MiB;3.87 KiB;0;0;2022/06/09 10:42;2022/06/09 10:42;584573d3ea182d000ef0d5d7;5819b49225353d000e32cf60;Z1;57b44fb8d2be26000d2b9ff3;2016-09-19T17:30:00Z;;;43.5329489233754;3.84102523326874;Vigiechiro - Point Fixe-340940
vigiechiro/vigiechiro-prod-datastore/588b0aed7ac9bd081c00045c;1.39 GiB;4498;324.56 KiB;26.58 KiB;0;0;2023/02/21 00:23;2023/02/21 00:23;588b0aed7ac9bd081c00045c;5767bc5a674c70000d6670a1;;561e53dce20405000c863242;2013-07-09T20:42:00Z;D240X + Zoom H2;;48.4007405323394;48.4001493156047;Vigie-chiro - Routier-86
vigiechiro/vigiechiro-prod-datastore/5929c12e6ce3a1000eaeaaaa;13.03 GiB;20212;676.23 KiB;3.92 KiB;0;0;2019/09/22 14:00;2019/09/19 20:28;5929c12e6ce3a1000eaeaaaa;59299b1e6ce3a1000eaea9aa;Z1;558acd059dcbdc000e0793ee;2017-05-25T18:45:00Z;SM2BAT+;SMX-U1;43.9367837467122;3.67450833320618;Vigiechiro - Point Fixe-300962
vigiechiro/vigiechiro-prod-datastore/599418908eef0a000f90221b;24.57 GiB;34515;746.54 KiB;1.62 KiB;0;0;2022/06/09 13:33;2022/06/09 13:33;599418908eef0a000f90221b;5826e4c445cbbb001f46630c;Z8;55e55a1bde2be0000d20d53c;2017-08-02T19:00:00Z;SM2BAT+;UM12;43.917687092335;3.7338300794363;Vigiechiro - Point Fixe-340018
vigiechiro/vigiechiro-prod-datastore/5acce8b590aed6000e64691e;2.12 GiB;81241;27.36 KiB;3.93 KiB;0;0;2022/11/02 22:50;2022/11/03 08:25;5acce8b590aed6000e64691e;58f4bdd1b5b686000d9627d0;H1;579243831e60a1000c175f7d;2015-08-11T18:25:00Z;SM2BAT+;SMX-U1;44.1082650592521;3.56872737407684;Vigiechiro - Point Fixe-300395
vigiechiro/vigiechiro-prod-datastore/5afbcad253b2bf000ebb3754;46.39 GiB;27858;1.71 MiB;5.49 KiB;0;0;2022/06/09 12:14;2022/06/09 12:14;5afbcad253b2bf000ebb3754;5961dd4a81a8b6000fc6bd92;Z4;583dc3d6f4b431000f2b65ab;2018-05-08T18:25:00Z;SM2BAT;SMX-US;43.4889221417858;4.16006755855051;Vigiechiro - Point Fixe-301450
vigiechiro/vigiechiro-prod-datastore/5b08a20c31fd2b000fe28605;1.35 GiB;11387;124.14 KiB;188.77 KiB;0;0;2022/11/02 17:37;2022/11/02 20:15;5b08a20c31fd2b000fe28605;5b08040f784241000d2d20c6;C1;579243831e60a1000c175f7d;2018-05-24T18:35:00Z;SM2BAT+;SMX-U1;43.8230997763811;5.37220850180017;Vigiechiro - Point Fixe-840736
vigiechiro/vigiechiro-prod-datastore/5b0d79c848e287000ebac422;50.72 GiB;50913;1.02 MiB;76.59 KiB;0;0;2022/05/18 16:24;2022/05/18 16:24;5b0d79c848e287000ebac422;5b0d463fc700f8000d0e26b4;Z3;5b0d4358c700f8000ef0c799;2017-08-04T18:20:00Z;SM2BAT+;SMX-US;43.2549286620271;6.41106135958898;Vigiechiro - Point Fixe-831200
vigiechiro/vigiechiro-prod-datastore/5b276e09d0b389000d46e360;11.85 GiB;11072;1.10 MiB;123.58 KiB;0;0;2022/11/02 21:29;2022/11/02 21:37;5b276e09d0b389000d46e360;5971c77214cbac000eccd9b9;Z1;558acd059dcbdc000e0793ee;2012-07-11T18:56:00Z;SM2BAT+;SMX-US;43.8364654130492;3.68543565273285;Vigiechiro - Point Fixe-340097
vigiechiro/vigiechiro-prod-datastore/5b2d06187e1695000d7314ff;20.45 GiB;18052;1.16 MiB;75.10 KiB;0;0;2022/06/06 10:33;2022/06/06 10:33;5b2d06187e1695000d7314ff;59310f88658482000e6440b4;Z1;558acd059dcbdc000e0793ee;2018-06-21T19:02:00Z;SM2BAT+;SMX-U1;43.8339463415988;3.74597311019897;Vigiechiro - Point Fixe-340099
vigiechiro/vigiechiro-prod-datastore/5b3e1f4da9de0b000e483679;24.62 GiB;20543;1.23 MiB;24.79 KiB;0;0;2020/02/28 08:45;2020/02/28 08:45;5b3e1f4da9de0b000e483679;5b3ced09b96622000f39af7f;Z1;579243831e60a1000c175f7d;2018-07-03T19:05:00Z;SM2BAT+;SMX-U1;44.6637018673686;3.01569055942866;Vigiechiro - Point Fixe-480368
vigiechiro/vigiechiro-prod-datastore/5b3e72eea9de0b000d6f2a73;24.78 GiB;20557;1.23 MiB;44.69 KiB;0;0;2020/02/28 08:47;2020/02/28 08:47;5b3e72eea9de0b000d6f2a73;5b3ce8f2b96622000da2fd08;Z1;579243831e60a1000c175f7d;2018-07-03T19:05:00Z;SM2BAT+;SMX-U1;44.7030655592072;3.02548432792332;Vigiechiro - Point Fixe-480299
vigiechiro/vigiechiro-prod-datastore/5b4d0860d93e00000dfde843;24.35 GiB;20920;1.19 MiB;9.44 KiB;0;0;2020/02/28 08:49;2020/02/28 08:49;5b4d0860d93e00000dfde843;5b43dfbb5bff1f000d39d9ee;Z1;579243831e60a1000c175f7d;2018-07-06T19:05:00Z;SM2BAT+;SMX-U1;44.7560633492945;3.03649895001615;Vigiechiro - Point Fixe-480197
vigiechiro/vigiechiro-prod-datastore/5b5040c585b569000d260c3a;17.20 GiB;17968;1003.56 KiB;64.56 KiB;0;0;2022/06/23 16:30;2022/06/23 16:30;5b5040c585b569000d260c3a;5b503ffa5434ac000fb97f76;Z1;561e4e86d37212000eead250;2018-07-18T19:10:00Z;SM2BAT+;SMX-US;47.1889267889625;-1.57497434779521;Vigiechiro - Point Fixe-441314
vigiechiro/vigiechiro-prod-datastore/5b5371f66baa5f000db50dc3;24.98 GiB;20112;1.27 MiB;181.93 KiB;0;0;2020/02/28 08:49;2020/02/28 08:49;5b5371f66baa5f000db50dc3;5b5202118e3c23000eb33841;Z1;579243831e60a1000c175f7d;2018-07-17T19:00:00Z;SM2BAT+;SMX-U1;44.6342617375647;2.69460149603174;Vigiechiro - Point Fixe-120199
vigiechiro/vigiechiro-prod-datastore/5b7338a98cfcd4000d503da3;25.90 GiB;21325;1.24 MiB;79.46 KiB;0;0;2020/02/28 08:50;2020/02/28 08:50;5b7338a98cfcd4000d503da3;5b647849f66528000d6c8044;Z1;579243831e60a1000c175f7d;2018-08-02T18:40:00Z;SM2BAT+;SMX-U1;44.8178320284458;2.94275576249697;Vigiechiro - Point Fixe-151259
vigiechiro/vigiechiro-prod-datastore/5b7410edb30369000e16bd20;27.53 GiB;22379;1.26 MiB;119.88 KiB;0;0;2020/02/28 08:50;2020/02/28 08:50;5b7410edb30369000e16bd20;5b64764ef83d96000e01ddae;Z1;579243831e60a1000c175f7d;2018-08-02T18:40:00Z;SM2BAT+;SMX-U1;44.8571268819361;2.89834764663283;Vigiechiro - Point Fixe-151204
vigiechiro/vigiechiro-prod-datastore/5b747480b60ab6000edf7345;25.85 GiB;21234;1.25 MiB;118.22 KiB;0;0;2020/02/28 08:51;2020/02/28 08:51;5b747480b60ab6000edf7345;5b5218a68e3c23000eb338a9;Z1;579243831e60a1000c175f7d;2018-07-17T19:00:00Z;SM2BAT+;SMX-U1;44.6358174829765;2.63781476727934;Vigiechiro - Point Fixe-120196
vigiechiro/vigiechiro-prod-datastore/5b758fdc041966000eb2bd7c;25.66 GiB;21129;1.24 MiB;99.97 KiB;0;0;2020/02/28 08:47;2020/02/28 08:47;5b758fdc041966000eb2bd7c;5b5215be8e3c23000eb33894;Z1;579243831e60a1000c175f7d;2018-07-17T19:00:00Z;SM2BAT+;SMX-U1;44.6380050247085;2.66823466094911;Vigiechiro - Point Fixe-120198
vigiechiro/vigiechiro-prod-datastore/5b7a3b4dc19dff000ec80d38;1.19 GiB;44151;28.18 KiB;2.40 KiB;0;0;2022/05/12 17:53;2022/05/12 17:53;5b7a3b4dc19dff000ec80d38;5adb0507ecc1aa000ec197b2;Z1;591ef6e6cd9ea3000f6cf128;2018-08-13T18:10:00Z;SM2BAT+;;43.526075931678;5.54122561918643;Vigiechiro - Point Fixe-130657
vigiechiro/vigiechiro-prod-datastore/5b98e4a47bce4e000e774303;25.67 GiB;25088;1.05 MiB;40.28 KiB;0;0;2022/06/06 10:48;2022/06/06 10:48;5b98e4a47bce4e000e774303;5940e90b55d542000e73c51a;Z9;561d0cb6a30f06000e624198;2018-09-10T17:25:00Z;SM2BAT+;SMX-US;47.8821608998123;-3.93359899520874;Vigiechiro - Point Fixe-291547
vigiechiro/vigiechiro-prod-datastore/5ba0b619a21420000f9081fa;1.55 GiB;30534;53.16 KiB;4.69 KiB;0;0;2022/05/11 16:47;2022/05/11 18:12;5ba0b619a21420000f9081fa;5b9ad83d1021f3000e6ff63b;Z1;5aba361fbff803000e0af28b;2018-09-07T18:00:00Z;SM4;SMM-U2;42.876612537886;1.57321497497117;Vigiechiro - Point Fixe-090730
vigiechiro/vigiechiro-prod-datastore/5ba668c0f335ac000d695b89;18.11 GiB;13929;1.33 MiB;503.31 KiB;0;0;2022/06/16 00:16;2022/06/16 19:15;5ba668c0f335ac000d695b89;589d9291755fe6000d87d90f;Z9;558acd059dcbdc000e0793ee;2018-09-17T17:29:00Z;SM2BAT+;UM12;43.8187255802144;3.69670336895979;Vigiechiro - Point Fixe-340129
vigiechiro/vigiechiro-prod-datastore/5be976dac60009000da9428d;34.25 GiB;24796;1.41 MiB;18.48 KiB;0;0;2022/06/09 11:54;2022/06/09 11:54;5be976dac60009000da9428d;5be9768bc60009000e58f899;Z1;57b44fb8d2be26000d2b9ff3;2018-07-31T18:46:00Z;Batlogger;;43.6716667628092;4.1805924077313;Vigiechiro - Point Fixe-301349
vigiechiro/vigiechiro-prod-datastore/5bfea0b3f13d25000e51b085;2.37 GiB;76837;32.31 KiB;3.52 KiB;0;0;2022/06/23 23:06;2022/06/23 23:06;5bfea0b3f13d25000e51b085;5ba8d298429364000e871fca;Z1;5aaa43aafcbbe4000e4e718e;2018-09-17T17:29:00Z;SM2BAT;Autre micro externe;45.864408278664;4.17671585897324;Vigiechiro - Point Fixe-420393
vigiechiro/vigiechiro-prod-datastore/5bfee8be21cf12000f735c29;1.70 GiB;53745;33.14 KiB;3.71 KiB;0;0;2022/05/12 19:22;2022/05/12 19:22;5bfee8be21cf12000f735c29;5ba8d298429364000e871fca;Z2;5aaa43aafcbbe4000e4e718e;2018-09-17T17:29:00Z;SM2BAT;Autre micro externe;45.864408278664;4.17671585897324;Vigiechiro - Point Fixe-420393
vigiechiro/vigiechiro-prod-datastore/5c6dce7846fd69000d79921d;12.23 GiB;12401;1.01 MiB;123.41 KiB;0;0;2019/09/22 12:28;2019/09/19 23:37;5c6dce7846fd69000d79921d;5accc054613e5b000dfc3e98;Z7;558acd059dcbdc000e0793ee;2019-02-01T17:15:00Z;Batlogger;Micro externe sans cornet;43.8247730479387;3.7221146013012;Vigiechiro - Point Fixe-340130
vigiechiro/vigiechiro-prod-datastore/5c926205d52918000dc201fb;13.30 GiB;25399;549.16 KiB;3.04 KiB;0;0;2019/10/11 14:00;2019/09/19 23:27;5c926205d52918000dc201fb;58ff89b9c88150000ecde2ee;Z6;558acd059dcbdc000e0793ee;2019-03-16T10:00:00Z;SM2BAT+;SMX-US;43.8644485853838;3.81141364574432;Vigiechiro - Point Fixe-340076
vigiechiro/vigiechiro-prod-datastore/5c9e32e33d7f07000fa54960;25.16 GiB;20878;1.23 MiB;63.68 KiB;0;0;2019/12/25 03:49;2019/12/20 13:43;5c9e32e33d7f07000fa54960;5b61bdf8033d51000d2be37f;Z1;579243831e60a1000c175f7d;2018-07-18T19:00:00Z;SM2BAT+;SMX-U1;44.6662015152324;2.57178720522893;Vigiechiro - Point Fixe-120167
vigiechiro/vigiechiro-prod-datastore/5caf33fac29820000dd79423;25.77 GiB;21303;1.24 MiB;49.81 KiB;0;0;2020/02/28 08:51;2020/02/28 08:51;5caf33fac29820000dd79423;5c9caa44b2442e000d52944b;Z1;579243831e60a1000c175f7d;2018-07-18T19:00:00Z;SM2BAT+;SMX-U1;44.647956486582;2.57955506839551;Vigiechiro - Point Fixe-120194
vigiechiro/vigiechiro-prod-datastore/5cb06170dc6f34000ee8711a;21.57 GiB;18352;1.20 MiB;65.92 KiB;0;0;2022/10/20 11:41;2022/10/20 11:43;5cb06170dc6f34000ee8711a;5b5202118e3c23000eb33841;Z2;579243831e60a1000c175f7d;2018-07-17T19:00:00Z;SM2BAT+;SMX-U1;44.6342617375647;2.69460149603174;Vigiechiro - Point Fixe-120199
vigiechiro/vigiechiro-prod-datastore/5d0a3533a8a969000f9185ce;138.56 GiB;152482;952.87 KiB;98.58 KiB;0;0;2022/12/19 23:19;2022/12/19 23:19;5d0a3533a8a969000f9185ce;5d0a254a3b0a20000facbcc8;Z1;5d0a21d63b0a20000e96aea9;2018-09-17T12:00:00Z;SM4;SMM-U2;45.5801419426562;-0.988271408907053;Vigiechiro - Point Fixe-171256
vigiechiro/vigiechiro-prod-datastore/5d0a357ea8a969000f9185ec;84.25 GiB;105043;841.00 KiB;59.23 KiB;0;0;2019/12/04 03:46;2019/09/18 06:10;5d0a357ea8a969000f9185ec;5d0a254a3b0a20000facbcc8;Z1;5d0a21d63b0a20000e96aea9;2018-09-24T12:00:00Z;SM4;SMM-U2;45.5801419426562;-0.988271408907053;Vigiechiro - Point Fixe-171256
vigiechiro/vigiechiro-prod-datastore/5d0a35e6a8a969000eae71cf;84.44 GiB;91402;968.74 KiB;94.15 KiB;0;0;2022/12/20 21:54;2022/12/20 21:54;5d0a35e6a8a969000eae71cf;5d0a254a3b0a20000facbcc8;Z1;5d0a21d63b0a20000e96aea9;2018-10-04T12:00:00Z;SM4;SMM-U2;45.5801419426562;-0.988271408907053;Vigiechiro - Point Fixe-171256
vigiechiro/vigiechiro-prod-datastore/5d0a41973b0a20000de52b87;139.37 GiB;123413;1.16 MiB;53.78 KiB;0;0;2023/02/18 05:49;2023/02/18 19:55;5d0a41973b0a20000de52b87;5d0a24a23b0a20000e96afde;Z1;5d0a21d63b0a20000e96aea9;2018-09-10T12:00:00Z;SM4;SMM-U2;45.9068109559715;-1.07402453764053;Vigiechiro - Point Fixe-170634
vigiechiro/vigiechiro-prod-datastore/5d1b495fe9ab52000f54024f;1.72 GiB;9924;181.44 KiB;3.01 KiB;0;0;2022/04/30 15:16;2022/04/30 15:16;5d1b495fe9ab52000f54024f;5b71b59f2305d4000fa58524;Z5;5cd93010de2c5c000f41c7a0;2019-06-04T18:35:00Z;SM4;SMM-U2;45.0349627818727;5.0952115596923;Vigiechiro - Point Fixe-260228
vigiechiro/vigiechiro-prod-datastore/5d245b69911f4c000eac1188;4.90 GiB;11056;465.07 KiB;9.39 KiB;0;0;2019/11/08 23:26;2019/11/08 10:42;5d245b69911f4c000eac1188;5638b402375460000c72139a;E1;564456c620f2ed000ecfad17;2019-06-23T19:15:00Z;SM2BAT+;SMX-U1;43.005117884819;6.23493432998657;Vigiechiro - Point Fixe-831523
vigiechiro/vigiechiro-prod-datastore/5d28293e3e2fcc000dd22e22;22.27 GiB;8520;2.68 MiB;2.98 MiB;0;0;2019/07/21 21:31;2019/07/21 22:17;5d28293e3e2fcc000dd22e22;57a1bf23695514000efde190;Z1;558acd059dcbdc000e0793ee;2019-07-06T18:45:00Z;Batlogger;Micro externe sans cornet;43.7827989823151;3.77541303634644;Vigiechiro - Point Fixe-340208
vigiechiro/vigiechiro-prod-datastore/5d3ab14321c426000f854fe8;2.63 GiB;2089;1.29 MiB;190.33 KiB;0;0;2021/04/06 14:54;2020/12/07 12:29;5d3ab14321c426000f854fe8;5b3a2ed04162de000f26982c;;5a183a1445f305000d197a20;2019-07-25T19:45:00Z;M500 + BatRecorder;;43.9634439813111;4.83230897231363;Vigiechiro - Pédestre-840525
vigiechiro/vigiechiro-prod-datastore/5d406b88426179000ea10cbd;61.76 GiB;57140;1.11 MiB;14.62 KiB;0;0;2022/12/20 22:27;2022/12/20 22:27;5d406b88426179000ea10cbd;5a0c03a215ce6d000e1fbd0d;Z6;558acd059dcbdc000e0793ee;2019-07-19T18:38:00Z;SM2BAT+;SMX-US;43.864524004407;3.73678386211395;Vigiechiro - Point Fixe-340073
vigiechiro/vigiechiro-prod-datastore/5d43e50997672d000fb799a2;1.33 GiB;1497;933.28 KiB;937.59 KiB;0;0;2020/12/03 09:15;2020/12/03 09:15;5d43e50997672d000fb799a2;5644a63dab59b0000da72a2e;;5759385be75fea000e42a8d6;2019-07-08T20:35:00Z;D240X + Zoom H2;;50.3928021470829;50.3933356528451;Vigie-chiro - Routier-287
vigiechiro/vigiechiro-prod-datastore/5d4adbbdef9f21000f3c8a3a;43.42 GiB;29738;1.50 MiB;19.87 KiB;0;0;2022/12/20 22:45;2022/12/20 22:45;5d4adbbdef9f21000f3c8a3a;57bb57fe189513000ce4250e;Z11;558acd059dcbdc000e0793ee;2019-07-30T18:57:00Z;PassiveRecorder;Micro externe sans cornet;43.7631638357827;3.7312451004982;Vigiechiro - Point Fixe-340247
vigiechiro/vigiechiro-prod-datastore/5d654a70b267d7000d40e8bb;48.97 GiB;39744;1.26 MiB;119.21 KiB;0;0;2019/12/16 00:00;2019/10/09 22:25;5d654a70b267d7000d40e8bb;5d5ac06c195a06000dd50a33;Z2;5d53fdd56b4c48000f47ba4e;2019-06-27T19:00:00Z;Audiomoth;Micro interne;44.1248745280201;3.61060818866122;Vigiechiro - Point Fixe-481301
vigiechiro/vigiechiro-prod-datastore/5d664a04c8b5af000fb4a3fb;24.36 GiB;27111;942.19 KiB;82.49 KiB;0;0;2019/12/02 10:00;2019/09/18 08:41;5d664a04c8b5af000fb4a3fb;5d5ab2b6195a06000f8e2cdf;Z1;5d53fdd56b4c48000f47ba4e;2019-07-11T18:45:00Z;Batlogger;Micro externe sans cornet;44.3291449499838;3.77085700807527;Vigiechiro - Point Fixe-481012
vigiechiro/vigiechiro-prod-datastore/5d665d77c05d85000f57919b;23.62 GiB;28024;883.92 KiB;46.93 KiB;0;0;2019/12/02 23:15;2019/09/18 23:40;5d665d77c05d85000f57919b;5d5aafd2ac1509000d4d5510;Z2;5d53fdd56b4c48000f47ba4e;2019-07-11T18:45:00Z;Batlogger;Micro externe sans cornet;44.3266401403644;3.74582046623493;Vigiechiro - Point Fixe-481011
vigiechiro/vigiechiro-prod-datastore/5d696d930f7103000fdaea76;16.09 GiB;17906;942.47 KiB;63.75 KiB;0;0;2022/06/23 16:34;2022/06/23 16:34;5d696d930f7103000fdaea76;5d2498e0a6dfdf000e7aa287;B2;5d249606a6dfdf000d4a370e;2019-08-27T18:28:00Z;SM4;SMM-U2;47.0803068365853;-1.67015971646129;Vigiechiro - Point Fixe-441521
vigiechiro/vigiechiro-prod-datastore/5d6f8e1b50a98b000e6481fe;4.27 GiB;68810;65.04 KiB;4.81 KiB;0;0;2022/06/24 00:38;2022/06/24 00:38;5d6f8e1b50a98b000e6481fe;5d6f8d6150a98b000d96086b;Z1;5cd4218871a81e000e816fc7;2019-08-29T18:00:00Z;SM4;SMM-U2;47.3793459245297;4.86605453974653;Vigiechiro - Point Fixe-211165
vigiechiro/vigiechiro-prod-datastore/5d70d3bcfffa1e000dd30e32;17.27 GiB;15671;1.13 MiB;23.85 KiB;0;0;2023/03/05 23:10;2023/03/03 09:57;5d70d3bcfffa1e000dd30e32;5d4ae09970da3d000fbfa732;B1;5c8669d03d469e000e43bbac;2019-08-07T19:00:00Z;SM4;SMM-U2;47.6513036541706;3.15295761275218;Vigiechiro - Point Fixe-891411
vigiechiro/vigiechiro-prod-datastore/5d753ddea10375000f3ad584;3.67 GiB;5936;648.83 KiB;42.17 KiB;0;0;2023/03/05 11:29;2023/03/03 09:10;5d753ddea10375000f3ad584;5d5f9f35c42ffe000e326b74;C1;5c8669d03d469e000e43bbac;2019-08-14T19:00:00Z;Batlogger;Autre micro externe;47.6696997840368;3.06025640308894;Vigiechiro - Point Fixe-891360
vigiechiro/vigiechiro-prod-datastore/5d76058fd1f412000f7d58fc;3.51 GiB;5564;661.83 KiB;6.59 KiB;0;0;2023/03/06 02:04;2023/03/03 08:58;5d76058fd1f412000f7d58fc;5d5fa00b2abbc3000f6e2e3d;C1;5c8669d03d469e000e43bbac;2019-08-18T19:00:00Z;Batlogger;Autre micro externe;47.6500746367972;3.29955795963383;Vigiechiro - Point Fixe-891417
vigiechiro/vigiechiro-prod-datastore/5d762482b05906000eabbf97;1.66 GiB;2917;598.09 KiB;31.57 KiB;0;0;2023/03/05 11:38;2023/03/03 08:39;5d762482b05906000eabbf97;5d5fa0612abbc3000e90410c;C1;5c8669d03d469e000e43bbac;2019-08-21T19:00:00Z;Batlogger;Autre micro externe;47.6873949604638;3.11360380090844;Vigiechiro - Point Fixe-891313
vigiechiro/vigiechiro-prod-datastore/5d7f724d536a29000f50c0f9;4.34 GiB;12754;356.79 KiB;5.30 KiB;0;0;2019/12/02 17:42;2019/09/19 15:52;5d7f724d536a29000f50c0f9;5d481f72f1f452000eed2b26;Z1;573068ea61ecd3000eef1615;2019-08-02T18:49:00Z;SM4;SMM-U2;46.9273127250541;3.41522878921774;Vigiechiro - Point Fixe-581305
vigiechiro/vigiechiro-prod-datastore/5d7f73c0b87edf000dc40309;1.12 GiB;2090;559.75 KiB;4.50 KiB;0;0;2019/10/14 09:52;2019/09/19 13:49;5d7f73c0b87edf000dc40309;5d481cc922330d000e68c3c4;Z1;573068ea61ecd3000eef1615;2019-08-02T21:50:00Z;Audiomoth;Micro interne;46.7878018119307;3.63680491696618;Vigiechiro - Point Fixe-581582
