Group.1;Group.2;Group.3;Group.4;x
Vigie-chiro - Routier-123;02/07/2013 00:25;direct; 1;1
Vigiechiro - Pédestre-861550;02/07/2013 00:28;direct; 1;1
Vigie-chiro - Routier-151;02/07/2013 00:30;direct; 1;1
Vigie-chiro - Routier-159;02/07/2014 00:30;direct; 1;1
Vigie-chiro - Routier-85;02/07/2014 01:22;direct; 1;1
Vigiechiro - Pédestre-590530;02/07/2014 22:30;direct; 1;1
Vigiechiro - Pédestre-590514;02/07/2015 01:57;direct; 1;1
Vigiechiro - Pédestre-220447;02/07/2015 23:00;direct; 1;1
Vigiechiro - Pédestre-290575;02/07/2015 23:15;direct; 1;1
Vigiechiro - Pédestre-590514;02/07/2016 22:30;direct; 1;1
Vigie-chiro - Routier-438;02/07/2018 22:31;direct; 1;1
Vigie-chiro - Routier-382;02/07/2018 22:50;direct; 1;1
Vigie-chiro - Routier-624;02/07/2019 22:00;direct; 1;1
Vigiechiro - Pédestre-771118;02/07/2019 22:20;direct; 1;1
Vigiechiro - Pédestre-771120;02/07/2019 22:20;direct; 1;1
Vigie-chiro - Routier-439;02/07/2019 22:31;direct; 1;1
Vigie-chiro - Routier-65;02/07/2020 22:45;direct; 1;1
Vigie-chiro - Routier-123;02/07/2021 22:30;direct; 1;1
Vigie-chiro - Routier-81;02/07/2021 22:41;direct; 1;1
Vigie-chiro - Routier-439;02/07/2021 22:52;direct; 1;1
Vigie-chiro - Routier-436;02/08/2009 00:15;direct; 1;1
Vigie-chiro - Routier-116;02/08/2009 23:45;direct; 1;1
Vigie-chiro - Routier-63;02/09/2008 01:15;direct; 1;1
Vigie-chiro - Routier-5;02/09/2008 22:45;direct; 1;1
Vigie-chiro - Routier-105;02/09/2008 23:30;direct; 1;1
Vigie-chiro - Routier-193;02/09/2009 23:15;direct; 1;1
Vigie-chiro - Routier-80;02/09/2010 20:55;direct; 1;1
Vigie-chiro - Routier-263;02/09/2011 20:40;direct; 1;1
Vigiechiro - Pédestre-861550;02/09/2013 23:00;direct; 1;1
Vigie-chiro - Routier-127;02/09/2014 21:32;direct; 1;1
Vigie-chiro - Routier-262;02/09/2014 22:50;direct; 1;1
Vigie-chiro - Routier-414;02/09/2014 23:10;direct; 1;1
Vigiechiro - Pédestre-440730;02/09/2015 20:40;direct; 1;1
Vigie-chiro - Routier-126;02/09/2015 21:15;direct; 1;1
Vigiechiro - Pédestre-621131;02/09/2015 21:36;direct; 1;1
Vigie-chiro - Routier-65;02/09/2016 11:15;direct; 1;1
Vigiechiro - Pédestre-590537;02/09/2018 21:20;direct; 1;1
Vigie-chiro - Routier-288;02/09/2019 21:15;direct; 1;1
Vigie-chiro - Routier-58;02/09/2020 21:20;direct; 1;1
Vigie-chiro - Routier-436;02/10/2009 22:27;direct; 1;1
Vigiechiro - Pédestre-750016;02/10/2014 22:51;direct; 1;1
Vigie-chiro - Routier-51;03/07/2007 00:15;direct; 1;1
Vigie-chiro - Routier-53;03/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-121;03/07/2008 00:30;direct; 1;1
Vigiechiro - Pédestre-750025;03/07/2009 00:40;direct; 1;1
Vigie-chiro - Routier-113;03/07/2009 00:49;direct; 1;1
Vigiechiro - Pédestre-750008;03/07/2009 01:05;direct; 1;1
Vigie-chiro - Routier-71;03/07/2009 01:55;direct; 1;1
Vigie-chiro - Routier-262;03/07/2011 22:02;direct; 1;1
Vigie-chiro - Routier-83;03/07/2011 22:20;direct; 1;1
Vigie-chiro - Routier-266;03/07/2012 00:45;direct; 1;1
Vigiechiro - Pédestre-590530;03/07/2012 22:30;direct; 1;1
Vigie-chiro - Routier-83;03/07/2012 22:40;direct; 1;1
Vigie-chiro - Routier-155;03/07/2013 00:30;direct; 1;1
Vigie-chiro - Routier-127;03/07/2013 00:31;direct; 1;1
Vigie-chiro - Routier-48;03/07/2013 23:45;direct; 1;1
Vigie-chiro - Routier-461;03/07/2014 01:04;direct; 1;1
Vigie-chiro - Routier-82;03/07/2014 01:22;direct; 1;1
Vigiechiro - Pédestre-590514;03/07/2014 22:30;direct; 1;1
Vigiechiro - Pédestre-350004;03/07/2016 23:05;direct; 1;1
Vigie-chiro - Routier-624;03/07/2017 22:00;direct; 1;1
Vigiechiro - Pédestre-590530;03/07/2017 22:30;direct; 1;1
Vigiechiro - Pédestre-350004;03/07/2017 23:00;direct; 1;1
Vigiechiro - Pédestre-220181;03/07/2017 23:15;direct; 1;1
Vigie-chiro - Routier-57;03/07/2018 22:45;direct; 1;1
Vigie-chiro - Routier-286;03/07/2019 22:35;direct; 1;1
Vigie-chiro - Routier-80;03/07/2019 23:19;direct; 1;1
Vigie-chiro - Routier-6;03/08/2007 00:00;direct; 1;1
Vigie-chiro - Routier-437;03/08/2009 00:15;direct; 1;1
Vigie-chiro - Routier-436;03/08/2009 23:55;direct; 1;1
Vigie-chiro - Routier-61;03/09/2008 01:15;direct; 1;1
Vigie-chiro - Routier-70;03/09/2008 01:50;direct; 1;1
Vigie-chiro - Routier-158;03/09/2008 23:32;direct; 1;1
Vigie-chiro - Routier-127;03/09/2009 21:00;direct; 1;1
Vigie-chiro - Routier-1;03/09/2009 23:45;direct; 1;1
Vigie-chiro - Routier-83;03/09/2010 21:15;direct; 1;1
Vigie-chiro - Routier-176;03/09/2010 21:30;direct; 1;1
Vigie-chiro - Routier-48;03/09/2010 22:48;direct; 1;1
Vigiechiro - Pédestre-220447;03/09/2012 23:51;direct; 1;1
Vigie-chiro - Routier-62;03/09/2013 01:03;direct; 1;1
Vigiechiro - Pédestre-590470;03/09/2013 23:00;direct; 1;1
Vigie-chiro - Routier-437;03/09/2013 23:09;direct; 1;1
Vigiechiro - Pédestre-300764;03/09/2013 23:45;direct; 1;1
Vigiechiro - Pédestre-590470;03/09/2014 21:00;direct; 1;1
Vigiechiro - Pédestre-590530;03/09/2014 21:00;direct; 1;1
Vigie-chiro - Routier-440;03/09/2014 23:06;direct; 1;1
Vigie-chiro - Routier-380;03/09/2015 21:20;direct; 1;1
Vigie-chiro - Routier-59;03/09/2015 23:20;direct; 1;1
Vigiechiro - Pédestre-740752;03/09/2018 20:58;direct; 1;1
Vigie-chiro - Routier-435;03/09/2018 21:05;direct; 1;1
Vigie-chiro - Routier-437;03/09/2018 21:25;direct; 1;1
Vigiechiro - Pédestre-621131;03/09/2019 21:00;direct; 1;1
