Scientific.name
Chaetodon unimaculatus
Zebrasoma velifer
Scarus schlegeli
Thalassoma hardwicke
Naso lituratus
Gomphosus varius
Chaetodon ulietensis
Thalpophila matura
Chrysolina haemoptera
Daphne gnidium
Lagurus ovatus
Linaria angustissima
Erinus alpinus
Impatiens balfourii
Colchicum autumnale
Asplenium scolopendrium scolopendrium
Aquilegia vulgaris
Aporophyla canescens
Papilio machaon
Galatella linosyris
Hypochaeris radicata
Dittrichia viscosa
Iphiclides podalirius
Antirrhinum majus
Abia nitens
Acanthurus triostegus
Fistularia commersonii
Stegastes albifasciatus
Balistapus undulatus
Zebrasoma scopas
Siganus doliatus
Plectorhinchus vittatus
Balistoides viridescens
Chaetodon rafflesii
Labroides dimidiatus
Stethojulis bandanensis
Lutjanus bohar
Trachinotus baillonii
Chaetodon vagabundus
Acanthurus xanthopterus
Novaculichthys taeniourus
Hipposcarus longiceps
Monotaxis heterodon
Scarus oviceps
Artamus mentalis
Myzomela jugularis
Radianthus crispa
Diploastrea heliopora
Choriaster granulatus
Cheilinus fasciatus
Plagiotremus laudandus
Sufflamen chrysopterum
Lopha cristagalli
Halichoeres melanurus
Sargocentron spiniferum
Chaetodon melannotus
Lutjanus semicinctus
Stichopus chloronotus
Scarus psittacus
Abudefduf vaigiensis
Halichoeres hortulanus
Siganus punctatus
Terapon jarbua
Salarias fasciatus
Scarus dimidiatus
Acanthurus olivaceus
Corylus avellana
Cyanistes caeruleus
Emberiza citrinella
Dryobates minor
Asio otus
Natrix maura
Pelophylax ridibundus
Cryptocephalus obliteratifer
Lymantria dispar
Satyrium esculi
Melanargia lachesis
Anthaxia ignipennis
Anthaxia hungarica
Acmaeodera quadrifasciata prunneri
Coenonympha dorus
Tettigettalna argentata
Zygaena erythrus
Podarcis muralis
Peridea anceps
Cordulegaster boltonii
Sarpa salpa
Diplodus vulgaris
Anemonia viridis
Coris julis
Diplodus sargus
Parablennius pilicornis
Parablennius sanguinolentus
Symphodus roissali
Saturnia pyri
Platycleis albopunctata
Cryptocephalus sericeus
Melanargia galathea
Arcyptera brevipennis vicheti
Tituboea sexmaculata
Timarcha goettingensis
Euchorthippus declivus
Platycleis affinis
Polyommatus dolus
Spiris striata
Hyponephele lupinus
Lacerta bilineata
Pyrgus armoricanus
Rhacocleis germanica
Sympetrum meridionale
Omocestus rufipes
Leptotes pirithous
Phaneroptera nana
Buteo buteo
Pezotettix giornae
Aiolopus puissanti
Zabrus tenebrioides
Cernuella neglecta
Tylopsis lilifolia
Dendarus coarcticollis
Saitis barbipes
Chrysolina americana
Fulica atra
Larus argentatus
Phalacrocorax carbo
Mareca strepera
Turdus pilaris
Cicindela campestris
Myocastor coypus
Columba oenas
Turdus viscivorus
Dendrocopos major
Sturnus vulgaris
Aglais io
Polygonia c-album
Garrulus glandarius
Padina pavonica
Cerithium vulgatum
Polyommatus hispana
Sphingonotus caerulans
Saga pedo
Odontosoria gymnogrammoides
Drymonia turrialvae
Kohleria spicata
Platyphora geometra
Copiphora rhinoceros
Milvus milvus
Sympetrum striolatum
Chorthippus biguttulus
Metrioptera saussuriana
Stenobothrus lineatus
Omocestus viridulus
Pseudochorthippus parallelus
Lycaena phlaeas
Pseudochorthippus montanus
Sympetrum danae
Euthystira brachyptera
Gentiana pneumonanthe
Crocus ligusticus
Roeseliana roeselii
Streptopelia turtur
Acrida ungarica
Clathrus archeri
Lycaena tityrus
Fasta fastuosa
Corvus corone
Cygnus olor
Brintesia circe
Cinclus cinclus
Aegithalos caudatus
Loxia curvirostra
Araschnia levana
Chrysoteuchia culmella
Stachys palustris
Pholidoptera griseoaptera
Lysimachia nummularia
Egretta garzetta
Oenanthe oenanthe
Gyps fulvus
Halyzia sedecimguttata
Rutpela maculata
Acanthosoma haemorrhoidale
Palomena prasina
Geometra papilionaria
Nymphalis polychloros
Anguis fragilis
Gonepteryx rhamni
Limenitis camilla
Anoplotrupes stercorosus
Rhagonycha fulva
Pentatoma rufipes
Clavulina coralloides
Pararge aegeria
Rana temporaria
Celastrina argiolus
Heteropterus morpheus
Cabera pusaria
Hyla meridionalis
Acronicta rumicis
Sympecma fusca
Xylocopa violacea
Carlina acanthifolia
Stachys recta
Isturgia murinaria
Ephippiger terrestris
Antaxius pedestris
Spialia sertorius
Eryngium amethystinum
Cucullia lychnitis
Pyronia tithonus
Bombus rupestris
Oxythyrea funesta
Carpocoris mediterraneus mediterraneus
Cirsium tenoreanum
Bombus pascuorum
Adelphocoris vandalicus
Podarcis siculus
Geranium versicolor
Cisticola juncidis
Eidolon helvum
Dasiphora fruticosa
Scabiosa comosa
Bupleurum bicaule
Arcyptera microptera
Celes skalozubovi skalozubovi
Thalassoma pavo
Siganus rivulatus
Gobius cobitis
Torquigener flavimaculosus
Atherinomorus forskalii
Sparisoma cretense
Serranus scriba
Symphodus tinca
Dendrocopos syriacus
Poecilimon inflatus
Testudo graeca
Maniola telmessia
Anthus campestris
Forficula smyrnensis
Alauda arvensis
Recurvirostra avosetta
Limosa limosa islandica
Limosa lapponica
Emberiza schoeniclus
Numenius phaeopus
Cuculus canorus
Phylloscopus trochilus
Anthus pratensis
Ardea cinerea
Curruca communis
Asio flammeus
Linaria cannabina
Ichthyaetus melanocephalus
Chroicocephalus ridibundus
Charadrius dubius
Hydrocoloeus minutus
Mareca penelope
